,artist,danceability,date,energy,featuring,genre,key,mode,rank,spotifyID,tempo,timesignature,track,valence
0,The Beatles,0.443,1970-04-11,0.403,none,british invasion,0.0,1.0,1,7iN1s7xHE4ifF5povM6A48,143.462,4.0,Let It Be,0.41
1,Jackson 5,0.736,1970-04-11,0.689,none,christmas,8.0,1.0,2,6wDviYDtmSDZ0S6TVMM9Vc,93.781,4.0,ABC,0.95
2,John Ono Lennon,0.624,1970-04-11,0.931,none,album rock,11.0,0.0,3,2E9wKgL8NN7Tvydqcjoh7v,119.887,4.0,Instant Karma (We All Shine On),0.14
3,Norman Greenbaum,0.601,1970-04-11,0.643,none,classic rock,2.0,1.0,4,0Y2SrByf4G3kbq2nBEHQRn,128.262,4.0,Spirit In The Sky,0.552
4,Simon,0.149,1970-04-11,0.206,Garfunkel,folk,3.0,1.0,5,6l8EbYRtQMgKOyc1gcDHF9,79.764,4.0,Bridge Over Troubled Water,0.264
5,Edison Lighthouse,0.565,1970-04-11,0.668,none,bubblegum pop,9.0,1.0,6,6i1pTt7tsEmn0KTboxWZSV,117.742,4.0,Love Grows (Where My Rosemary Goes),0.637
6,Frijid Pink,0.315,1970-04-11,0.776,none,psychedelic blues-rock,9.0,1.0,7,6IjvCFBNprUHhlamLey2Tb,114.49,4.0,House Of The Rising Sun,0.212
7,Badfinger,0.616,1970-04-11,0.629,none,album rock,8.0,1.0,8,0wb21I1NV5uVUolRXIqlJF,94.004,4.0,Come And Get It,0.606
8,Bobby Sherman,0.539,1970-04-11,0.386,none,bubblegum pop,4.0,1.0,9,4Ht8wlFBxdNiQQSdWTBOik,142.823,4.0,"Easy Come, Easy Go",0.755
9,The Jaggerz,0.822,1970-04-11,0.7,none,bubblegum pop,9.0,1.0,10,0s1PceKn7sF0Pc8bsnDN1t,120.376,4.0,The Rapper,0.961
10,The Supremes,0.535,1970-04-11,0.565,none,adult standards,10.0,1.0,11,2sHahlW8ib7C7GkuV39tKR,120.146,4.0,Up The Ladder To The Roof,0.673
11,The Originals,0.236,1970-04-11,0.724,none,classic soul,5.0,0.0,12,0hpIRQCG6mf4RApr0SDuDP,174.195,3.0,The Bells,0.494
12,Aretha Franklin,2.0,1970-04-11,2.0,none,NA,2.0,2.0,13,NA,2.0,2.0,Call Me/Son Of A Preacher Man,2.0
13,The Friends Of Distinction,0.525,1970-04-11,0.433,none,classic soul,9.0,1.0,14,4uW80X0ObmZ5YV3zeXU2Dm,96.453,4.0,Love Or Let Me Be Lonely,0.462
14,The Guess Who,2.0,1970-04-11,2.0,none,NA,2.0,2.0,15,NA,2.0,2.0,American Woman/No Sugar Tonight,2.0
15,Brook Benton,2.0,1970-04-11,2.0,none,NA,2.0,2.0,16,NA,2.0,2.0,Rainy Night In Georgia/Rubberneckin',2.0
16,Chairman Of The Board,2.0,1970-04-11,2.0,none,NA,2.0,2.0,17,NA,2.0,2.0,Give Me Just A Little More Time,2.0
17,Santana,0.704,1970-04-11,0.528,none,blues-rock,5.0,1.0,18,5tmrnhMxx39jnu3kjopMdP,117.472,4.0,Evil Ways,0.73
18,The Hollies,0.319,1970-04-11,0.275,none,adult standards,7.0,1.0,19,6f5sSC3ORfpUMYtE4J06VW,75.754,4.0,"He Ain't Heavy, He's My Brother",0.253
19,Three Dog Night,0.46,1970-04-11,0.498,none,album rock,5.0,1.0,20,5RiLHDGPrVvAEtpvICiqYM,101.419,4.0,Celebrate,0.831
20,Kenny Rogers,0.44,1970-04-11,0.338,The First Edition,NA,9.0,1.0,21,4m9zF5OiikfhWTjcXTHAJx,93.62,4.0,Something's Burning,0.384
21,Tyrone Davis,0.563,1970-04-11,0.655,none,chicago soul,6.0,1.0,22,5o3qMny3Ym8O512RKrNoLw,117.794,4.0,Turn Back The Hands Of Time,0.866
22,Jr. Walker,0.61,1970-04-11,0.689,The All Stars,brill building pop,1.0,1.0,23,2dlVeyhP1kM1xdfJGN6gpG,113.482,4.0,Gotta Hold On To This Feeling,0.863
23,Little Sister,2.0,1970-04-11,2.0,none,NA,2.0,2.0,24,NA,2.0,2.0,You're The One-Part II,2.0
24,Neil Diamond,0.498,1970-04-11,0.61,none,adult standards,0.0,1.0,25,1qy5SpKS8o90FvrgQYUhM2,135.421,4.0,Shilo,0.501
25,Michael Parks,0.605,1970-04-11,0.263,none,NA,2.0,1.0,26,7qHGRefOGiaPqrG4IEckcv,85.112,4.0,Long Lonesome Highway,0.343
26,Jack Blanchard,0.711,1970-04-11,0.819,Misty Morgan,NA,0.0,1.0,27,4xSrLrL3N7dDenrJ4cplzw,130.224,4.0,Tennessee Bird Walk,0.88
27,The Delfonics,0.484,1970-04-11,0.59,none,classic soul,9.0,1.0,28,1NeKY4qWsCnhY8fvhwQa7q,140.588,4.0,Didn't I (Blow Your Mind This Time),0.324
28,The Tee Set,2.0,1970-04-11,2.0,none,NA,2.0,2.0,29,NA,2.0,2.0,Ma Belle Amie,2.0
29,The Marmalade,0.505,1970-04-11,0.626,none,NA,7.0,1.0,30,6rfD32x69f5xbUj5wnRMmi,94.669,4.0,Reflections Of My Life,0.407
30,Elvis Presley,0.431,1970-04-11,0.444,none,christmas,0.0,1.0,31,2jZ0RcOfjdhoyvylgqNrvh,105.657,4.0,Kentucky Rain,0.559
31,Bobbie Gentry,0.427,1970-04-11,0.338,Glen Campbell,nashville sound,3.0,1.0,32,3FUGhktHS6iEAReiDwXuqm,95.133,4.0,All I Have To Do Is Dream,0.603
32,"Crosby, Stills, Nash",0.458,1970-04-11,0.539,Young,album rock,4.0,0.0,33,2iqKVzMZpyUVPwxIVaQkhm,118.928,4.0,Woodstock,0.56
33,Gladys Knight And The Pips,0.729,1970-04-11,0.878,none,adult standards,10.0,0.0,34,1nnzQEn5dc5IXfEiHZhmRB,104.245,4.0,You Need Love Like I Do (Don't You),0.832
34,Rare Earth,0.619,1970-04-11,0.833,none,blues-rock,2.0,0.0,35,6s908FOHbvhdyTJLPoqxPg,136.783,4.0,Get Ready,0.963
35,Rufus Thomas,0.731,1970-04-11,0.528,none,classic soul,1.0,0.0,36,5lxw9o6P1cYDoSXPygM0q3,85.039,4.0,Do The Funky Chicken,0.656
36,B.J. Thomas,0.417,1970-04-11,0.484,none,adult standards,5.0,1.0,37,184oLWuOMlV5GikWtOdzUh,82.149,4.0,Everybody's Out Of Town,0.651
37,The Ides Of March,0.474,1970-04-11,0.734,none,NA,10.0,0.0,38,6hnyQ0YpiO35rutiLLHLmr,101.751,4.0,Vehicle,0.926
38,Bobbi Martin,0.699,1970-04-11,0.359,none,NA,0.0,1.0,39,0mI3I8bE8cvL5qhgg9bBmA,114.977,4.0,For The Love Of Him,0.427
