,artist,danceability,date,energy,featuring,genre,key,mode,rank,spotifyID,tempo,timesignature,track,valence
0,Bad English,0.495,1989-11-18,0.609,none,album rock,7.0,1.0,1,0tKjVEJlX3IZ5L1rEJc5hh,135.671,4.0,When I See You Smile,0.33
1,Milli Vanilli,0.758,1989-11-18,0.827,none,new wave pop,4.0,0.0,2,2dPpQv8sCPeEaA4oz7ZjQC,97.515,4.0,Blame It On The Rain,0.506
2,The B-52s,0.715,1989-11-18,0.817,none,art rock,5.0,0.0,3,4W4wYHtsrgDiivRASVOINL,133.858,4.0,Love Shack,0.871
3,Paula Abdul,0.805,1989-11-18,0.863,none,dance pop,1.0,1.0,4,41DB7gQ5IraC9I2ICfSLf2,119.982,4.0,(It's Just) The Way That You Love Me,0.833
4,Roxette,0.539,1989-11-18,0.583,none,europop,1.0,0.0,5,78TnMTAFmWUWWCgNXR7D3K,86.063,4.0,Listen To Your Heart,0.337
5,Billy Joel,0.712,1989-11-18,0.967,none,album rock,7.0,1.0,6,3Cx4yrFaX8CeHwBMReOWXI,145.024,4.0,We Didn't Start The Fire,0.895
6,Richard Marx,0.54,1989-11-18,0.64,none,album rock,8.0,1.0,7,2cG2bZy32qIxWVbFrobSQ1,97.033,4.0,Angelia,0.523
7,New Kids On The Block,0.641,1989-11-18,0.43,none,boy band,1.0,0.0,8,3UxhGH45xEy6J2JJwm3izJ,137.807,4.0,Didn't I (Blow Your Mind),0.506
8,Alice Cooper,0.28,1989-11-18,0.908,none,album rock,2.0,0.0,9,5XcZRgJv3zMhTqCyESjQrF,118.698,4.0,Poison,0.26
9,Soul II Soul,0.817,1989-11-18,0.485,none,disco,7.0,1.0,10,7vvRkLPIvfjjmCIqNxBuEZ,100.978,4.0,Back To Life,0.672
10,Janet Jackson,0.711,1989-11-18,0.975,none,dance pop,6.0,0.0,11,4r5VaK6H1bq0cTGPMTN97Z,115.19,4.0,Miss You Much,0.645
11,Linda Ronstadt (,0.401,1989-11-18,0.285,Aaron Neville),adult standards,11.0,1.0,12,4x9y3JSvsjBTbm4uEnBrdT,130.465,4.0,Don't Know Much,0.267
