,artist,danceability,date,energy,featuring,genre,key,mode,rank,spotifyID,tempo,timesignature,track,valence
0,Lisa Lisa And Cult Jam,0.722,1987-10-17,0.838,none,electro,0.0,1.0,1,0p2lB3tOc2DJGTUltBxjkv,119.736,4.0,Lost In Emotion,0.955
1,Prince,0.832,1987-10-17,0.453,none,funk,9.0,1.0,2,2X6okzhnNPSzh9yxDMHHe3,122.363,4.0,U Got The Look,0.783
2,Europe,0.457,1987-10-17,0.487,none,album rock,7.0,1.0,3,29wJiSQcze8HEmxkUQykyp,136.596,4.0,Carrie,0.139
3,Michael Jackson,0.853,1987-10-17,0.981,none,pop,8.0,1.0,4,2bCQHF9gdG5BNDVuEIEnNk,118.193,4.0,Bad,0.595
4,Madonna,0.771,1987-10-17,0.749,none,dance pop,5.0,0.0,5,3sX3c6QUPSAiKf77RZRf5B,119.875,4.0,Causing A Commotion,0.854
5,Whitesnake,0.292,1987-10-17,0.823,none,album rock,7.0,1.0,6,1qOU8KzFifXE9YrgjVwYvc,89.939,4.0,Here I Go Again,0.244
6,Heart,0.601,1987-10-17,0.73,none,album rock,2.0,1.0,7,2G7ttyDosjWmunOYsNRm0C,116.313,4.0,Who Will You Run To,0.684
7,Levert,0.71,1987-10-17,0.845,none,funk,4.0,0.0,8,1O7hDH3rrF8eyLxrpeoOfb,92.957,4.0,Casanova,0.802
8,John Mellencamp,0.623,1987-10-17,0.889,none,album rock,4.0,1.0,9,3fbVtEI5leNfYKvL7FxDz1,141.992,4.0,Paper In Fire,0.579
9,Bananarama,2.0,1987-10-17,2.0,none,NA,2.0,2.0,10,NA,2.0,2.0,"I Heard A Rumour (From ""Disorderlies"")",2.0
10,Tiffany,0.755,1987-10-17,0.727,none,new wave pop,7.0,1.0,11,4uvjOKsp7mSjrDhWdkLPBY,130.511,4.0,I Think We're Alone Now,0.932
11,Expose,0.659,1987-10-17,0.754,none,freestyle,1.0,0.0,12,3t14IyH0Pwz1E7oMJZD1u5,105.409,4.0,Let Me Be The One,0.887
12,Fleetwood Mac,0.64,1987-10-17,0.649,none,album rock,2.0,1.0,13,4CoSCPlKNrWli7E5kFtbcl,124.825,4.0,Little Lies,0.865
13,Billy Idol,0.701,1987-10-17,0.758,none,album rock,1.0,1.0,14,3GfGTJ2xzC0rqKgdjNJLOC,135.188,4.0,Mony Mony,0.344
14,Whitney Houston,0.54,1987-10-17,0.489,none,dance pop,10.0,1.0,15,19wadMw1A8XejDV4p5wMt1,130.984,4.0,Didn't We Almost Have It All,0.336
15,Swing Out Sister,0.707,1987-10-17,0.557,none,new romantic,4.0,1.0,16,0Nkbz5ibaSGuyMce9qGMS0,113.196,4.0,Breakout,0.776
