,artist,danceability,date,energy,featuring,genre,key,mode,rank,spotifyID,tempo,timesignature,track,valence
0,TLC,0.743,1999-04-24,0.675,none,atl hip hop,8.0,0.0,1,1KGi9sZVMeszgZOWivFpxs,92.909,4.0,No Scrubs,0.59
1,Cher,0.652,1999-04-24,0.917,none,dance pop,6.0,1.0,2,2goLsvvODILDzeeiT4dAoR,132.975,4.0,Believe,0.459
2,Sugar Ray,0.829,1999-04-24,0.674,none,alternative metal,8.0,1.0,3,6Neq7tjnknt4URNI8txFL4,109.917,4.0,Every Morning,0.974
3,Busta Rhymes ,0.797,1999-04-24,0.934,Janet,dirty south rap,1.0,1.0,4,0FpLfrOyHblbDlHUsrPN1N,116.438,4.0,What's It Gonna Be?!,0.519
4,Sixpence None The Richer,0.526,1999-04-24,0.749,none,lilith,3.0,1.0,5,754kgU5rWscRTfvlsuEwFp,99.982,4.0,Kiss Me,0.421
5,Whitney Houston Feat. Faith Evans,0.717,1999-04-24,0.54,Kelly Price,dance pop,3.0,0.0,6,3EIzVtVW78E6qJqYTa0WUx,133.809,4.0,Heartbreak Hotel,0.667
6,Mariah Carey,0.604,1999-04-24,0.53,none,dance pop,7.0,1.0,7,1bUrdVhrxVzTuROudSTYVO,117.941,4.0,I Still Believe,0.176
7,Monica,0.592,1999-04-24,0.562,none,dance pop,10.0,0.0,8,1AM1o0mKbgAK5oMpY8B3Z7,90.16,4.0,Angel Of Mine,0.208
8,B*Witched,0.693,1999-04-24,0.938,none,bubblegum dance,7.0,1.0,9,2NNiZ5qwYIKAwjbHJsxtAO,108.986,4.0,C'est La Vie,0.913
9,Goo Goo Dolls,0.395,1999-04-24,0.843,none,alternative rock,8.0,1.0,10,0nnwn7LWHCAu09jfuH1xTA,112.423,4.0,Slide,0.481
10,Joey McIntyre,0.629,1999-04-24,0.553,none,NA,2.0,1.0,11,34Tq4vFc9aiShjelMTEfdO,130.115,4.0,Stay The Same,0.285
11,Backstreet Boys,0.731,1999-04-24,0.574,none,boy band,1.0,1.0,12,3hlhefxgyp4MDnN6C2dQ5H,95.995,4.0,All I Have To Give,0.392
12,Silk,0.623,1999-04-24,0.442,none,atl hip hop,9.0,0.0,13,2Dhvr9FffaScu2bGJBM4O1,99.181,4.0,If You (Lovin' Me),0.335
13,Shanice,0.682,1999-04-24,0.555,none,hip pop,6.0,1.0,14,3EKEsJWz8oaxG1lfrojWug,83.332,4.0,When I Close My Eyes,0.511
14,Faith Evans ,0.713,1999-04-24,0.779,Puff Daddy,dance pop,11.0,0.0,15,0Rv1ICkeAao0Yx85xpJ29k,100.404,4.0,All Night Long,0.725
15,Jordan Knight,0.829,1999-04-24,0.669,none,NA,7.0,1.0,16,6miou5rcSI3TqJWTKizJJI,134.86,4.0,Give It To You,0.58
16,Tim McGraw,0.465,1999-04-24,0.54,none,contemporary country,1.0,1.0,17,4C5pVpypNmXpSN42rIqmpK,75.88,4.0,Please Remember Me,0.234
