,artist,danceability,date,energy,featuring,genre,key,mode,rank,spotifyID,tempo,timesignature,track,valence
0,Dale,0.226,1963-11-30,0.36,Grace,swamp pop,6.0,1.0,1,4To8mxhdtvoKpELxEHOGGU,210.186,3.0,I'm Leaving It Up To You,0.715
1,The Singing Nun (Soeur Sourire),2.0,1963-11-30,2.0,none,NA,2.0,2.0,2,NA,2.0,2.0,Dominique,2.0
2,The Village Stompers,0.801,1963-11-30,0.301,none,NA,4.0,0.0,3,2JwLfiU13mnYuiqcqriOLl,119.916,4.0,Washington Square,0.769
3,Jimmy Gilmer And The Fireballs,0.792,1963-11-30,0.804,none,NA,7.0,1.0,4,2nLLenueHlqs60IcDn9lan,132.852,4.0,Sugar Shack,0.879
4,The Impressions,0.549,1963-11-30,0.423,none,brill building pop,1.0,1.0,5,1PkoLMoX7j5ZVC0bnKhUY8,108.318,4.0,It's All Right,0.749
5,Lesley Gore,0.547,1963-11-30,0.56,none,adult standards,3.0,1.0,6,3EoD0KVcjyHJzV0ID60la1,121.445,4.0,She's A Fool,0.589
6,Tommy Roe,0.578,1963-11-30,0.485,none,adult standards,4.0,1.0,7,2ksk0lbrFsboQyPANVoeNt,142.384,4.0,Everybody,0.898
7,Nino Tempo,0.507,1963-11-30,0.32,April Stevens,NA,5.0,1.0,8,5kJez8nvgq0HqhWy3UTQFx,130.565,3.0,Deep Purple,0.575
8,The Dixiebelles,2.0,1963-11-30,2.0,none,NA,2.0,2.0,9,NA,2.0,2.0,(Down At) Papa Joe's,2.0
9,Elvis Presley With The Jordanaires,2.0,1963-11-30,2.0,none,NA,2.0,2.0,10,NA,2.0,2.0,Bossa Nova Baby,2.0
10,Rufus Thomas,0.805,1963-11-30,0.442,none,classic soul,8.0,1.0,11,6iFYsQckCCtGsabW0rXEPn,115.436,4.0,Walking The Dog,0.737
11,Sam Cooke,0.597,1963-11-30,0.64,none,adult standards,9.0,1.0,12,1msykqPE0qoZig4nb9khI0,92.422,4.0,Little Red Rooster,0.823
12,Major Lance,0.803,1963-11-30,0.534,none,brill building pop,7.0,0.0,13,4l4Y8jGEhbVEIgshnGpZ0P,125.839,4.0,Hey Little Girl,0.888
13,The Beach Boys,0.528,1963-11-30,0.722,none,brill building pop,10.0,1.0,14,37o6qDvBt3WBejQdFKNSui,138.648,4.0,Be True To Your School,0.86
14,Los Indios Tabajaras,0.665,1963-11-30,0.0989,none,easy listening,11.0,1.0,15,3ygHAK1w3qP4wp83KXUiiu,83.605,4.0,Maria Elena,0.591
15,Lenny Welch,0.301,1963-11-30,0.163,none,NA,8.0,1.0,16,51P4cUN0BKFM5tKmF8xpRQ,87.23,3.0,Since I Fell For You,0.355
16,Robin Ward,0.534,1963-11-30,0.384,none,brill building pop,1.0,1.0,17,7nSyzFpoLZUds8P6387E3Y,101.752,4.0,Wonderful Summer,0.374
17,Gene Pitney,0.502,1963-11-30,0.537,none,adult standards,0.0,1.0,18,274TzV9luSgzNFPJjUTIKq,79.124,4.0,Twenty Four Hours From Tulsa,0.587
18,The Caravelles,0.56,1963-11-30,0.581,none,brill building pop,1.0,1.0,19,3JSjzCFgurDfs4srG4yheg,134.55,4.0,You Don't Have To Be A Baby To Cry,0.846
19,Bobby Bare,0.519,1963-11-30,0.374,none,country,7.0,1.0,20,71gllRzHoMKgU7b2y0OfM7,109.253,4.0,500 Miles Away From Home,0.521
20,Chubby Checker,0.66,1963-11-30,0.642,none,adult standards,5.0,1.0,21,2CoFxvhk2uGUv2ZpQBtRKq,174.249,4.0,Loddy Lo,0.943
21,Barry,0.61,1963-11-30,0.574,The Tamerlanes,NA,1.0,0.0,22,34urmuvMI6JK38yGJboCpf,107.662,4.0,I Wonder What She's Doing Tonight,0.876
22,The Kingsmen,0.623,1963-11-30,0.709,none,NA,1.0,0.0,23,0iA3xXSkSCiJywKyo1UKjQ,122.394,4.0,Louie Louie,0.948
23,Al Martino,0.609,1963-11-30,0.316,none,adult standards,0.0,1.0,24,18G8KqnIIFWoZpRKlrAiQu,111.392,4.0,Living A Lie,0.543
24,The Angels,0.531,1963-11-30,0.786,none,australian rock,2.0,1.0,25,2NGANvM9qjeqrD9Yo9uNHR,127.873,4.0,I Adore Him,0.873
25,Dion Di Muci,2.0,1963-11-30,2.0,none,NA,2.0,2.0,26,NA,2.0,2.0,Drip Drop,2.0
26,Rick Nelson,2.0,1963-11-30,2.0,none,NA,2.0,2.0,27,NA,2.0,2.0,Fools Rush In,2.0
27,Steve Lawrence,2.0,1963-11-30,2.0,none,NA,2.0,2.0,28,NA,2.0,2.0,Walking Proud,2.0
28,The New Christy Minstrels,0.524,1963-11-30,0.822,none,american folk revival,4.0,1.0,29,09s29rfaQr6oCLWO7xFVJZ,110.924,4.0,Saturday Night,0.635
29,Marvin Gaye,0.667,1963-11-30,0.59,none,classic soul,8.0,1.0,30,35AePShKeTqklvVwyuJx1P,84.969,4.0,Can I Get A Witness,0.696
30,Johnny Tillotson,0.509,1963-11-30,0.515,none,adult standards,9.0,1.0,31,4sA2uCxAu5TCVbNiCT7xL7,138.844,4.0,Talk Back Trembling Lips,0.737
31,The Duprees featuring Joey Vann,2.0,1963-11-30,2.0,none,NA,2.0,2.0,32,NA,2.0,2.0,Have You Heard,2.0
32,Jack Jones,0.537,1963-11-30,0.477,none,adult standards,5.0,0.0,33,33yeTx321qQCaLyh2nE6BY,128.025,3.0,Wives And Lovers,0.582
33,Skeeter Davis,0.552,1963-11-30,0.666,none,brill building pop,1.0,1.0,34,0ijOfCj9PHvhnrX6WXrQns,120.292,4.0,I Can't Stay Mad At You,0.914
34,Roy Orbison,0.303,1963-11-30,0.793,none,adult standards,9.0,1.0,35,3hOGSSOLRb2rg3XOPpD8mN,165.61,4.0,Mean Woman Blues,0.732
35,Betty Harris,0.442,1963-11-30,0.395,none,rhythm and blues,9.0,1.0,36,3EppYZZJ7yuyRZibNAYBed,80.099,4.0,Cry To Me,0.34
36,Connie Francis,0.388,1963-11-30,0.608,none,adult standards,8.0,1.0,37,55yTTEwho0LzitaVIRxlk2,131.077,4.0,Your Other Love,0.368
37,The Beach Boys,0.341,1963-11-30,0.416,none,brill building pop,11.0,1.0,38,62fX8EW16l8St2yL8rMer9,102.886,3.0,In My Room,0.499
38,Lloyd Price,0.482,1963-11-30,0.698,none,adult standards,3.0,1.0,39,7nszV67pOycIN7sCRjC81e,128.333,4.0,Misty,0.525
39,Dee Dee Sharp,0.577,1963-11-30,0.574,none,brill building pop,1.0,0.0,40,0JSrMb4ohAYkFwS9qwoyA0,116.276,4.0,Wild!,0.901
40,Patti LaBelle And The Blue Belles,2.0,1963-11-30,2.0,none,NA,2.0,2.0,41,NA,2.0,2.0,Down The Aisle (Wedding Song),2.0
41,Neil Sedaka,0.625,1963-11-30,0.502,none,adult standards,7.0,1.0,42,71DgyAgkGnisVjQmAC0IFf,102.389,4.0,Bad Girl,0.965
42,Elvis Presley With The Jordanaires,2.0,1963-11-30,2.0,none,NA,2.0,2.0,43,NA,2.0,2.0,Witchcraft,2.0
