,artist,danceability,date,energy,featuring,genre,key,mode,rank,spotifyID,tempo,timesignature,track,valence
0,The Angels,0.679,1963-08-31,0.871,none,australian rock,3.0,1.0,1,5NiFSI8iIDtVm1NCwdYrHS,135.111,4.0,My Boyfriend's Back,0.964
1,Allan Sherman,0.591,1963-08-31,0.337,none,comic,9.0,1.0,2,1WvcgDbT79xeAa7Mv0klkK,120.17,4.0,"Hello Mudduh, Hello Fadduh! (A Letter From Camp)",0.729
2,Little Stevie Wonder,2.0,1963-08-31,2.0,none,NA,2.0,2.0,3,NA,2.0,2.0,Fingertips - Pt 2,2.0
3,The 4 Seasons,0.644,1963-08-31,0.52,none,adult standards,5.0,1.0,4,4AFLFG6pyvhBLC37FbDwc2,126.204,4.0,Candy Girl,0.715
4,"Peter, Paul",0.381,1963-08-31,0.0848,Mary,american folk revival,5.0,1.0,5,62Yu8QL1g9pdbvN4XL9Rah,155.036,4.0,Blowin' In The Wind,0.557
5,Trini Lopez,0.468,1963-08-31,0.933,none,adult standards,11.0,0.0,6,4JMl6POnS2IPBpVVwDl06P,85.505,4.0,If I Had A Hammer,0.867
6,Lesley Gore,0.739,1963-08-31,0.551,none,adult standards,11.0,0.0,7,5Vb0SgInHwS0tq46dApdBY,129.081,4.0,Judy's Turn To Cry,0.962
7,Inez Foxx with Charlie Foxx,2.0,1963-08-31,2.0,none,NA,2.0,2.0,8,NA,2.0,2.0,Mockingbird,2.0
8,Kai Winding,0.435,1963-08-31,0.554,Orchestra,jazz brass,4.0,0.0,9,05f3cqpj6Mf5EU0xiVLA4e,134.115,4.0,More,0.754
9,Randy,0.547,1963-08-31,0.678,The Rainbows,doo-wop,5.0,0.0,10,2uyTuHLAB3unDK1vkjViH5,125.883,4.0,Denise,0.895
10,Bobby Vinton,0.376,1963-08-31,0.246,none,adult standards,10.0,1.0,11,4QelFzhVgLomeQhvKrwM1S,80.167,1.0,Blue Velvet,0.282
11,Major Lance,0.799,1963-08-31,0.689,none,brill building pop,5.0,1.0,12,0VtvetMMdBu88MbUeM5YnL,123.169,4.0,The Monkey Time,0.948
12,The Beach Boys,0.522,1963-08-31,0.37,none,brill building pop,2.0,1.0,13,1AJ5F0FMTC3yFU3ocjy1gE,105.826,3.0,Surfer Girl,0.653
13,Martha,0.624,1963-08-31,0.61,The Vandellas,brill building pop,0.0,0.0,14,3VgrSJEKBRT3xmwzpaxxEF,82.65,4.0,Heat Wave,0.759
14,Freddie Scott,0.394,1963-08-31,0.297,none,southern soul,5.0,1.0,15,3vZyw7jyBpwgIEExgEOGJd,85.804,4.0,"Hey, Girl",0.5
15,Wayne Newton And The Newton Brothers,2.0,1963-08-31,2.0,none,NA,2.0,2.0,16,NA,2.0,2.0,Danke Schoen,2.0
16,Elvis Presley With The Jordanaires,2.0,1963-08-31,2.0,none,NA,2.0,2.0,17,NA,2.0,2.0,(You're the) Devil In Disguise,2.0
17,The Surfaris,0.352,1963-08-31,0.613,none,surf music,0.0,1.0,18,4anUinKv803lyDD1vaSXhU,152.437,4.0,Wipe Out,0.52
18,Sam Cooke,0.515,1963-08-31,0.486,none,adult standards,5.0,1.0,19,4wJw1D8jb09iHuawQawYda,118.218,4.0,Frankie And Johnny,0.555
19,The Crystals,0.44,1963-08-31,0.682,none,adult standards,4.0,1.0,20,5usNPz6U1acDrkUYekGYDY,135.917,4.0,Then He Kissed Me,0.626
20,Al Martino,0.348,1963-08-31,0.309,none,adult standards,7.0,1.0,21,5f4LwMkyw5ldc4TCrvDoy6,103.603,4.0,"Painted, Tainted Rose",0.403
21,The Tymes,0.538,1963-08-31,0.484,none,brill building pop,4.0,1.0,22,6h0LLmMVZY108wNzD5UM6O,75.656,4.0,So Much In Love,0.419
22,Gene Pitney,0.471,1963-08-31,0.509,none,adult standards,7.0,1.0,23,6D06zb501VBESteKxkWvIg,108.83,3.0,True Love Never Runs Smooth,0.508
23,The New Christy Minstrels,0.628,1963-08-31,0.783,none,american folk revival,5.0,1.0,24,62FgmkaAc47fWDWW24NGWK,140.475,4.0,"Green, Green",0.897
24,Jan,0.469,1963-08-31,0.647,Dean,adult standards,8.0,1.0,25,4ZzXPeOfMXk0iKNQGdlzDq,147.878,4.0,Surf City,0.942
25,Timi Yuro,0.315,1963-08-31,0.36,none,NA,6.0,1.0,26,588hXr5A0VURVbUehZzFHa,57.18,4.0,Make The World Go Away,0.474
26,Darlene Love,0.619,1963-08-31,0.699,none,adult standards,5.0,1.0,27,3kl7f6V6BG31GCtHxusxXg,148.821,4.0,Wait Til' My Bobby Gets Home,0.846
27,Chubby Checker,0.477,1963-08-31,0.84,none,adult standards,8.0,1.0,28,4V9WukPJV3VmOuTXMdYzuc,184.649,4.0,Twist It Up,0.961
