,artist,danceability,date,energy,featuring,genre,key,mode,rank,spotifyID,tempo,timesignature,track,valence
0,Chris Brown ,0.769,2007-11-10,0.52,T-Pain,dance pop,1.0,1.0,1,4CweuuMMzi71pO0MSRgyaT,140.112,3.0,Kiss Kiss,0.58
1,Timbaland ,0.654,2007-11-10,0.61,OneRepublic,dance pop,8.0,1.0,2,6ucR4KfvsBFWCMVFDvyKKl,118.032,4.0,Apologize,0.118
2,Soulja Boy Tell'em,2.0,2007-11-10,2.0,none,NA,2.0,2.0,3,NA,2.0,2.0,Crank That (Soulja Boy),2.0
3,Alicia Keys,0.649,2007-11-10,0.552,none,hip pop,1.0,0.0,4,0JEqGkvUiMTQmFY6sgL9kg,89.969,4.0,No One,0.158
4,Colbie Caillat,0.664,2007-11-10,0.491,none,acoustic pop,9.0,1.0,5,0rFOs9paloAvEtzwDX1Kmc,127.97,4.0,Bubbly,0.24
5,Kanye West,0.625,2007-11-10,0.726,none,pop rap,10.0,0.0,6,6C7RJEIUDqKkJRZVWdkfkH,103.98,4.0,Stronger,0.483
6,Kanye West ,0.435,2007-11-10,0.802,T-Pain,pop rap,1.0,1.0,7,1fLdeDTrJWNkwOeFyAVLvF,84.267,4.0,Good Life,0.454
7,Baby Bash ,0.641,2007-11-10,0.72,T-Pain,chicano rap,11.0,1.0,8,27mhCGdAA8gM7b33KIiB3k,77.969,4.0,Cyclone,0.578
8,Rihanna ,0.637,2007-11-10,0.73,Ne-Yo,dance pop,5.0,0.0,9,7iu0WYLdo4yksKf3seaxzI,93.867,4.0,Hate That I Love You,0.732
9,Timbaland ,0.734,2007-11-10,0.808,Keri Hilson,dance pop,3.0,0.0,10,2bLqfJjuC5syrsgDsZfGmn,114.764,4.0,The Way I Are,0.805
10,J. Holiday,0.684,2007-11-10,0.606,none,bassline,5.0,0.0,11,6TlRNJaezOdzdECnQeRuMM,127.901,4.0,Bed,0.723
11,Fergie,0.712,2007-11-10,0.647,none,dance pop,7.0,1.0,12,3Q4WeJmzxuDpzMu9QjQqbM,113.116,4.0,Big Girls Don't Cry,0.292
12,50 Cent ,0.442,2007-11-10,0.774,Justin Timberlake,east coast hip hop,8.0,0.0,13,36Hwcla06Q5BCr59CL0sBp,139.775,4.0,Ayo Technology,0.377
13,matchbox twenty,0.566,2007-11-10,0.906,none,neo mellow,0.0,1.0,14,0gbLfFlEyVHiKzlZIb0gce,83.0,4.0,How Far We've Come,0.787
14,P!nk,0.691,2007-11-10,0.749,none,dance pop,9.0,1.0,15,7FpoD2ZlcBSj05rEHSZoiB,140.014,4.0,Who Knew,0.473
15,Britney Spears,0.788,2007-11-10,0.844,none,dance pop,2.0,1.0,16,6ic8OlLUNEATToEFU3xmaH,113.324,4.0,Gimme More,0.382
16,Nickelback,0.616,2007-11-10,0.91,none,alternative metal,0.0,1.0,17,6n9yCXvLhnYMgJIiIcMu7D,144.073,4.0,Rockstar,0.693
17,Finger Eleven,0.645,2007-11-10,0.941,none,alternative metal,4.0,0.0,18,28IEbk5a7twNTbUEvWslUb,106.015,4.0,Paralyzer,0.881
18,Maroon 5,0.639,2007-11-10,0.949,none,pop,4.0,0.0,19,1zqllQUMCgMaInr0CzFVll,164.054,4.0,Wake Up Call,0.964
19,Carrie Underwood,0.426,2007-11-10,0.784,none,contemporary country,3.0,1.0,20,6xfL1KzGxg48ACVlQE9qXr,147.939,3.0,So Small,0.272
20,The-Dream,0.742,2007-11-10,0.441,none,dance pop,7.0,0.0,21,4nuMA47XIxcu85zkkDkz1t,74.987,4.0,Shawty Is A 10,0.39
21,Daughtry,0.423,2007-11-10,0.922,none,alternative metal,3.0,1.0,22,7mXmxXLAnsvXKt4Q37KoMI,156.063,4.0,Over You,0.567
