,artist,danceability,date,energy,featuring,genre,key,mode,rank,spotifyID,tempo,timesignature,track,valence
0,"Bobby ""Boris"" Pickett And The Crypt-Kickers",0.688,1962-10-20,0.488,none,halloween,11.0,0.0,1,0xxZY5C9xxij3D1HkzbnfC,69.77,4.0,Monster Mash,0.707
1,The 4 Seasons,0.703,1962-10-20,0.478,none,adult standards,7.0,1.0,2,0NpvdCO506uO58D4AbKzki,117.562,4.0,Sherry,0.734
2,The Contours,0.597,1962-10-20,0.71,none,brill building pop,5.0,1.0,3,41FRsZNXpsBkJ46BxyC20m,150.13,4.0,Do You Love Me,0.763
3,The Crystals,0.712,1962-10-20,0.757,none,adult standards,6.0,1.0,4,0mG8Hety4RELeo6p808fcy,117.367,4.0,He's A Rebel,0.866
4,Frank Ifield,0.385,1962-10-20,0.473,none,adult standards,9.0,1.0,5,7JO0jDBKdB5c1zgUhPMogF,128.592,4.0,I Remember You,0.541
5,Dickey Lee,0.676,1962-10-20,0.293,none,NA,8.0,1.0,6,3rMKfxzVRBBWsQj0KuAMwU,106.132,3.0,Patches,0.257
6,Nat King Cole,0.431,1962-10-20,0.379,none,adult standards,9.0,1.0,7,6bZlab0NrNteVppLu9C2Zy,97.061,4.0,Ramblin' Rose,0.31
7,Gene Pitney,0.308,1962-10-20,0.383,none,adult standards,5.0,0.0,8,0qzA9lCaJ5E3ITHwZ5UgIl,85.552,4.0,Only Love Can Break A Heart,0.282
8,Booker T.,0.816,1962-10-20,0.514,The MG's,classic soul,10.0,1.0,9,4fQMGlCawbTkH9yPPZ49kP,136.837,4.0,Green Onions,0.912
9,Chris Montez,0.751,1962-10-20,0.83,none,adult standards,1.0,1.0,10,2Qm5DrmotzWvqNM3JlcQYo,76.489,4.0,Let's Dance,0.935
10,"Peter, Paul",2.0,1962-10-20,2.0,Mary,NA,2.0,2.0,11,NA,2.0,2.0,If I Had A Hammer (The Hammer Song),2.0
11,Jimmy Clanton,0.466,1962-10-20,0.486,none,brill building pop,2.0,1.0,12,5UwOr7Olyr5ZwvaNELnP31,116.51,4.0,Venus In Blue Jeans,0.642
12,Bent Fabric and His Piano,2.0,1962-10-20,2.0,none,NA,2.0,2.0,13,NA,2.0,2.0,Alley Cat,2.0
13,The Beach Boys,0.542,1962-10-20,0.785,none,brill building pop,9.0,1.0,14,4kIYRtgbZyPzAWSFLdlajW,158.37,4.0,Surfin' Safari,0.967
14,Brenda Lee,0.409,1962-10-20,0.342,none,adult standards,5.0,1.0,15,4tMnrDxy7Vmv7HyK3ZTO2w,99.568,3.0,All Alone Am I,0.423
15,Chubby Checker,0.685,1962-10-20,0.758,none,adult standards,7.0,1.0,16,465TBgJi9hT5TMoBDDRXAK,128.652,4.0,Popeye (The Hitchhiker),0.955
16,Rex Allen,0.548,1962-10-20,0.401,none,NA,2.0,1.0,17,0x8M9S0YZVRCIshCQHZxzk,139.665,4.0,Don't Go Near The Indians,0.743
17,Sammy Davis Jr.,0.493,1962-10-20,0.382,none,adult standards,10.0,1.0,18,3exuUbudbzafhEF5HAteWS,74.564,4.0,What Kind Of Fool Am I,0.486
18,Tony Bennett,0.313,1962-10-20,0.078,none,adult standards,0.0,1.0,19,1bYItjcPRtxZs6Ir71O5RB,128.065,4.0,I Left My Heart In San Francisco,0.125
19,Johnny Mathis,0.359,1962-10-20,0.34,none,adult standards,8.0,1.0,20,3GA3PeOsy9cXqj4tRbPRS0,92.511,4.0,Gina,0.359
20,Brook Benton,0.527,1962-10-20,0.393,none,adult standards,5.0,1.0,21,3VO8DE7ydR3glJOERVzDJy,95.632,4.0,Lie To Me,0.727
21,Mike Clifford,0.453,1962-10-20,0.206,none,NA,4.0,1.0,22,4EKhJzaAkrlpamL0SDrSw7,81.715,4.0,Close To Cathy,0.283
22,Chubby Checker,0.745,1962-10-20,0.894,none,adult standards,8.0,1.0,23,6FXjVsmKPW93LXRFYhfmmw,87.498,4.0,Limbo Rock,0.971
23,Joey Dee,0.431,1962-10-20,0.488,the Starliters,NA,9.0,1.0,24,5Y1fu4CDb5RVfunPtEg2rT,147.544,4.0,What Kind Of Love Is This,0.883
24,The Dovells,0.771,1962-10-20,0.642,none,brill building pop,2.0,1.0,25,2GOXRG253GichrSuiZ5j0H,125.301,4.0,Hully Gully Baby,0.961
25,Kris Jensen,0.446,1962-10-20,0.434,none,NA,7.0,1.0,26,5UhOp3HtNKv10HO4zTeS4s,124.468,4.0,Torture,0.534
26,Bobby Vinton,0.326,1962-10-20,0.395,none,adult standards,3.0,1.0,27,0SAaQBLQ9e75bNI3iq6BQs,138.516,4.0,Rain Rain Go Away,0.638
27,Mary Wells,0.748,1962-10-20,0.398,none,brill building pop,11.0,0.0,28,4Sz8zFchpHQVQVqVyGz5Jb,113.494,4.0,You Beat Me To The Punch,0.963
28,Neil Sedaka,0.776,1962-10-20,0.864,none,adult standards,6.0,0.0,29,1YQbXMi6ne8GnXD2de0d5y,123.972,4.0,Next Door To An Angel,0.963
29,Elvis Presley With The Jordanaires,2.0,1962-10-20,2.0,none,NA,2.0,2.0,30,NA,2.0,2.0,King Of The Whole Wide World,2.0
30,Sam Cooke,0.373,1962-10-20,0.301,none,adult standards,9.0,1.0,31,6e6Kxot9nHyZ4I8GgmGKII,65.488,3.0,Nothing Can Change This Love,0.436
31,Jimmy Dean,0.685,1962-10-20,0.656,none,country gospel,2.0,1.0,32,488dRd8vrjZI4AI2dF69TA,77.588,4.0,Little Black Book,0.966
32,Brian Hyland,0.603,1962-10-20,0.325,none,adult standards,6.0,1.0,33,1YINWOCMieGVnvp5h0PcVx,138.164,3.0,Warmed Over Kisses (Left Over Love),0.678
33,The Duprees,0.328,1962-10-20,0.347,none,brill building pop,10.0,1.0,34,6l9NYgYpn6LRTMNKvcMx0A,110.818,3.0,You Belong To Me,0.269
34,Bunker Hill,2.0,1962-10-20,2.0,none,NA,2.0,2.0,35,NA,2.0,2.0,"Hide & Go Seek, Part I",2.0
35,The Shirelles,0.671,1962-10-20,0.407,none,adult standards,2.0,1.0,36,44gBeSPEmOKRquHKQENkkQ,120.143,4.0,Stop The Music,0.907
36,Sue Thompson,0.74,1962-10-20,0.571,none,adult standards,10.0,1.0,37,1N58xQLv5FZ6LgEfcxVByP,138.06,4.0,James (Hold The Ladder Steady),0.962
37,Tommy Roe,0.374,1962-10-20,0.494,none,adult standards,4.0,1.0,38,567I3MNucUhkqZX9diIrDU,136.796,4.0,Sheila,0.695
38,Bobby Vee,0.338,1962-10-20,0.474,none,adult standards,9.0,1.0,39,4NN3TFbwguBZAbQ1N2Kk2z,163.464,4.0,Punish Her,0.688
39,Rick Nelson,2.0,1962-10-20,2.0,none,NA,2.0,2.0,40,NA,2.0,2.0,Teen Age Idol,2.0
40,Carole King,0.41,1962-10-20,0.65,none,adult standards,0.0,1.0,41,18NtcPaUBR58Lq6A6bMdXf,145.535,4.0,It Might As Well Rain Until September,0.578
41,Bobby Darin,0.545,1962-10-20,0.712,none,adult standards,7.0,1.0,42,3cdUuaCRPsHenWNBY3LJvj,173.126,4.0,If A Man Answers,0.899
42,Jimmie Rodgers,0.232,1962-10-20,0.0319,none,brill building pop,2.0,1.0,43,0iiWaJLX3gUtHszswT7uZF,81.0,3.0,No One Will Ever Know,0.26
43,Bobby Darin,0.672,1962-10-20,0.817,none,adult standards,9.0,1.0,44,1GiwOMG9LsWAQPV5OziLeL,103.932,4.0,Baby Face,0.955
44,Pat Boone,2.0,1962-10-20,2.0,none,NA,2.0,2.0,45,NA,2.0,2.0,Ten Lonely Guys,2.0
45,Andy Williams,0.41,1962-10-20,0.13,none,adult standards,2.0,1.0,46,57fXifdcomXuoCqRZY8KRN,82.438,4.0,Don't You Believe It,0.403
46,Bobby Rydell,0.676,1962-10-20,0.614,none,adult standards,1.0,1.0,47,5JPt8ocXOmPXAc9H9fhH0o,116.483,4.0,The Cha-Cha-Cha,0.79
47,Richard Chamberlain,0.23,1962-10-20,0.132,none,NA,10.0,1.0,48,7sgZ29LuSDARfMQ3YdhNo3,79.273,4.0,Love Me Tender,0.222
48,Bobby Bland,0.392,1962-10-20,0.265,none,blues,1.0,1.0,49,6P2EjYnGAWkbRlUFPSYcgW,183.115,3.0,Stormy Monday Blues,0.302
49,The Marvelettes,0.635,1962-10-20,0.67,none,brill building pop,2.0,1.0,50,1vFNrZld2sLrmxwLIO1r1L,138.238,4.0,Beechwood 4-5789,0.972
50,Tommy Roe,0.316,1962-10-20,0.358,none,adult standards,10.0,1.0,51,1nhJcUXlLFsjXdmxeEfv5b,209.482,4.0,Susie Darlin',0.59
51,Stan Getz/Charlie Byrd,2.0,1962-10-20,2.0,none,NA,2.0,2.0,52,NA,2.0,2.0,Desafinado,2.0
52,Roy Orbison,2.0,1962-10-20,2.0,none,NA,2.0,2.0,53,NA,2.0,2.0,Workin' For The Man,2.0
53,Brenda Lee,2.0,1962-10-20,2.0,none,NA,2.0,2.0,54,NA,2.0,2.0,Save All Your Lovin' For Me,2.0
54,Earl Grant,0.518,1962-10-20,0.305,none,space age pop,10.0,1.0,55,4epoSl8BTGb5yfvkqdhyhv,106.764,3.0,Sweet Sixteen Bars,0.254
55,Duane Eddy and the Rebelettes,2.0,1962-10-20,2.0,none,NA,2.0,2.0,56,NA,2.0,2.0,(Dance With The) Guitar Man,2.0
56,Connie Francis,0.325,1962-10-20,0.257,none,adult standards,5.0,1.0,57,0p1qngobXIFP2rxl4HggCR,68.016,4.0,I Was Such A Fool (To Fall In Love With You),0.298
57,Claude King,0.727,1962-10-20,0.536,none,country gospel,7.0,1.0,58,70VBpCcpjJTmtQfVV5Pm4B,108.447,4.0,The Burning Of Atlanta,0.892
58,The Belmonts,0.489,1962-10-20,0.592,none,doo-wop,0.0,1.0,59,2c2vQsTkOEzUWTMwZcciqH,138.414,4.0,Come On Little Angel,0.799
59,Jimmy McGriff,2.0,1962-10-20,2.0,none,NA,2.0,2.0,60,NA,2.0,2.0,I've Got A Woman (Part I),2.0
60,The Isley Brothers,2.0,1962-10-20,2.0,none,NA,2.0,2.0,61,NA,2.0,2.0,Twistin' With Linda,2.0
61,Shelley Fabares,0.739,1962-10-20,0.512,none,brill building pop,2.0,1.0,62,7icUts9tjPjhY70XZ7j8Wc,113.212,4.0,The Things We Did Last Summer,0.924
62,The Majors,0.532,1962-10-20,0.829,none,NA,5.0,1.0,63,7phNHUv2ElaycVYwGvXD78,88.847,4.0,A Wonderful Dream,0.94
63,Dee Clark,0.528,1962-10-20,0.785,none,brill building pop,1.0,1.0,64,3InRteVTWoresD8cmdVxJW,85.963,4.0,I'm Going Back To School,0.412
64,Roy Orbison,0.52,1962-10-20,0.45,none,adult standards,5.0,1.0,65,2dQR5sHJmnFk0PMYRb4pQ6,93.951,4.0,Léah,0.308
65,The 4 Seasons,0.764,1962-10-20,0.84,none,adult standards,2.0,1.0,66,00meczE1jpLTX0BBzIGrAR,130.276,4.0,Big Girls Don't Cry,0.843
66,The Sherrys,0.641,1962-10-20,0.695,none,classic girl group,10.0,1.0,67,2Q8V5YOVc9Wsb8GlNUhKuk,132.627,4.0,Pop Pop Pop - Pie,0.965
67,Elvis Presley With The Jordanaires,2.0,1962-10-20,2.0,none,NA,2.0,2.0,68,NA,2.0,2.0,Return To Sender,2.0
68,Connie Francis,2.0,1962-10-20,2.0,none,NA,2.0,2.0,69,NA,2.0,2.0,He Thinks I Still Care,2.0
69,Barbara Lynn,0.826,1962-10-20,0.681,none,brill building pop,9.0,1.0,70,3iVr0ys1UuBPkV9whnC2ER,124.575,4.0,Second Fiddle Girl,0.964
70,The Orlons,0.769,1962-10-20,0.712,none,brill building pop,7.0,1.0,71,57rCNFS9Cfdg09dNHSAuwM,113.022,4.0,Don't Hang Up,0.967
71,Martin Denny and His Orchestra,2.0,1962-10-20,2.0,none,NA,2.0,2.0,72,NA,2.0,2.0,A Taste Of Honey,2.0
72,Carla Thomas,0.358,1962-10-20,0.373,none,classic soul,3.0,1.0,73,7fBJUr0gptVUnAu6cv0N6m,181.88,3.0,I'll Bring It Home To You,0.642
73,Stan Kenton,2.0,1962-10-20,2.0,none,NA,2.0,2.0,74,NA,2.0,2.0,Mama Sang A Song,2.0
74,Jerry Butler,0.541,1962-10-20,0.462,none,brill building pop,3.0,0.0,75,6bIVxvmTWZdeIYpY5Qpc5f,112.676,4.0,You Can Run (But You Can't Hide),0.628
75,Etta James,0.662,1962-10-20,0.75,none,adult standards,0.0,1.0,76,3jb4oKjPdxv58czp4Nct0X,134.802,4.0,Next Door To The Blues,0.861
76,The Fleetwoods,0.605,1962-10-20,0.273,none,adult standards,8.0,1.0,77,7kMfhQbqicEJSk0UlKCScj,125.353,4.0,"Lovers By Night, Strangers By Day",0.559
77,Buddy Greco,0.436,1962-10-20,0.311,none,adult standards,5.0,1.0,78,0MpZSu8U7wZHKG2HNXoT45,94.711,3.0,Mr. Lonely,0.56
