,artist,danceability,date,energy,featuring,genre,key,mode,rank,spotifyID,tempo,timesignature,track,valence
0,Rupert Holmes,0.834,1980-01-12,0.496,none,soft rock,0.0,1.0,1,5IMtdHjJ1OtkxbGe4zfUxQ,138.791,4.0,Escape (The Pina Colada Song),0.944
1,Michael Jackson,0.808,1980-01-12,0.535,none,pop,1.0,1.0,2,7oOOI85fVQvVnK5ynNMdW7,114.031,4.0,Rock With You,0.848
2,Captain,0.728,1980-01-12,0.527,Tennille,adult standards,7.0,1.0,3,0m4jVVZrsv0bLkAr1uM6UG,90.223,4.0,Do That To Me One More Time,0.495
3,Stevie Wonder,0.606,1980-01-12,0.412,none,adult standards,2.0,1.0,4,4G7lsW2o9e0rsiNNdFIoXX,72.871,4.0,Send One Your Love,0.461
4,KC And The Sunshine Band,0.482,1980-01-12,0.615,none,disco,6.0,1.0,5,6dw6BquK0Mv72p6HpusqKN,96.307,4.0,Please Don't Go,0.437
5,Commodores,0.342,1980-01-12,0.0751,none,adult standards,1.0,1.0,6,2LdtluFBgL8cuSo9nkvJ57,124.233,4.0,Still,0.184
6,Kenny Rogers,0.651,1980-01-12,0.433,none,adult standards,7.0,1.0,7,0JkIre0YxNmKGMU5V7ZiDx,91.483,4.0,Coward Of The County,0.676
7,Kool,0.668,1980-01-12,0.596,The Gang,disco,11.0,1.0,8,2GUESfQxaSuauM5fwiRkXb,111.695,4.0,Ladies Night,0.93
8,Cliff Richard,0.746,1980-01-12,0.703,none,adult standards,0.0,1.0,9,3Ug96zKa29P3vICEEcYajZ,111.569,4.0,We Don't Talk Anymore,0.733
9,Styx,0.262,1980-01-12,0.223,none,album rock,2.0,1.0,10,5W7YROOF6bFfBexY81LFjt,171.768,4.0,Babe,0.081
10,Little River Band,0.388,1980-01-12,0.368,none,adult standards,9.0,1.0,11,1RaUxP6LHVAgbmLOn2naLl,128.527,4.0,Cool Change,0.175
11,Smokey Robinson,0.499,1980-01-12,0.637,none,classic soul,4.0,1.0,12,2gliw3L0oa4w8LqaHploje,169.119,4.0,Cruisin',0.815
12,Eagles,0.707,1980-01-12,0.346,none,album rock,11.0,0.0,13,02BsTeJE4q5gWOTt58ur5U,85.094,4.0,The Long Run,0.49
13,Dr. Hook,0.76,1980-01-12,0.66,none,bubblegum pop,9.0,1.0,14,2RwLs2dPoY8Tt1FumMvimx,102.92,4.0,Better Love Next Time,0.885
