,artist,danceability,date,energy,featuring,genre,key,mode,rank,spotifyID,tempo,timesignature,track,valence
0,The Steve Miller Band,0.951,1982-09-25,0.316,none,NA,9.0,0.0,1,7BLbCumhiues7ToM42YWmY,127.402,4.0,Abracadabra,1.0
1,John Cougar,0.807,1982-09-25,0.419,none,album rock,9.0,1.0,2,43btz2xjMKpcmjkuRsvxyg,103.967,4.0,Jack & Diane,0.613
2,Chicago,0.398,1982-09-25,0.57,none,adult standards,4.0,1.0,3,07TnWCHrFkvF61GzJuLVt0,140.974,4.0,Hard To Say I'm Sorry,0.234
3,Survivor,0.817,1982-09-25,0.599,none,album rock,0.0,0.0,4,2KH16WveTQWT6KOG9Rg6e2,108.873,4.0,Eye Of The Tiger,0.548
4,Melissa Manchester,0.753,1982-09-25,0.834,none,adult standards,4.0,1.0,5,3mYh6egfMyl0Dek8r9ciK6,131.909,4.0,You Should Hear How She Talks About You,0.852
5,The Alan Parsons Project,0.823,1982-09-25,0.417,none,album rock,2.0,1.0,6,39qYD4J4BKvZMQgxfXl5bv,111.928,4.0,Eye In The Sky,0.522
6,Men At Work,0.807,1982-09-25,0.83,none,album rock,4.0,1.0,7,29r3fDexnrto7WABfpblNH,128.501,4.0,Who Can It Be Now?,0.954
7,Jackson Browne,0.741,1982-09-25,0.742,none,album rock,2.0,1.0,8,4SlCb8n5Jw52astU7GWPyV,116.951,4.0,Somebody's Baby,0.889
8,John Cougar,0.812,1982-09-25,0.724,none,album rock,9.0,1.0,9,67eX1ovaHyVPUinMHeUtIM,125.437,4.0,Hurts So Good,0.969
9,Donna Summer,0.836,1982-09-25,0.715,none,adult standards,7.0,1.0,10,5ljxv8aOm8HukHTjdtEHQ6,132.276,4.0,Love Is In Control (Finger On The Trigger),0.889
10,Paul McCartney,0.582,1982-09-25,0.632,none,album rock,2.0,1.0,11,49VwPtgOSnIDxnbiMjj7hG,134.875,4.0,Take It Away,0.928
11,America,0.86,1982-09-25,0.568,none,adult standards,4.0,0.0,12,5dXED6MP1v1qghkaniirb1,129.721,4.0,You Can Do Magic,0.936
12,Kenny Rogers,0.64,1982-09-25,0.44,none,adult standards,4.0,1.0,13,1M2a5TNHqmr2zXZZcB7xTe,86.952,4.0,Love Will Turn You Around,0.613
13,Elton John,0.52,1982-09-25,0.216,none,glam rock,7.0,0.0,14,4PFhHd7DsNg0ke9Nmlxms5,106.633,3.0,Blue Eyes,0.165
14,Michael McDonald,0.734,1982-09-25,0.485,none,adult standards,4.0,0.0,15,5GvWrvLIqoHroq7YvO260M,95.321,4.0,I Keep Forgettin' (Every Time You're Near),0.933
15,Eddie Money,0.486,1982-09-25,0.83,none,album rock,3.0,1.0,16,6mJQe0vTIojlxwyMwwy6YR,151.869,4.0,Think I'm In Love,0.652
16,Asia,0.327,1982-09-25,0.816,none,album rock,9.0,0.0,17,5eL3BwpZ3hbRc2h7JWDpqh,125.41,4.0,Only Time Will Tell,0.316
17,Jermaine Jackson,0.973,1982-09-25,0.631,none,disco,11.0,0.0,18,4WbumVCuNi2Uvv2IfkmXW7,126.516,4.0,Let Me Tickle Your Fancy,0.964
18,Santana,0.671,1982-09-25,0.516,none,blues-rock,7.0,0.0,19,1NZAeh2a8Y6Ry5hGBPGP1e,124.699,4.0,Hold On,0.711
19,Joan Jett,0.572,1982-09-25,0.836,the Blackhearts,rock,11.0,1.0,20,6Xprc4GuCejWA3BjU5knyw,127.667,4.0,Do You Wanna Touch Me (Oh Yeah),0.726
20,A Flock Of Seagulls,0.507,1982-09-25,0.642,none,dance rock,2.0,1.0,21,4OdhffpvG3HxDJMxYOKh97,146.154,4.0,I Ran (So Far Away),0.631
21,Michael Murphey,0.551,1982-09-25,0.214,none,country rock,0.0,0.0,22,5j2yIrnbgDW51GM95ZjqDj,75.268,4.0,What's Forever For,0.294
22,Billy Idol,0.66,1982-09-25,0.897,none,album rock,5.0,1.0,23,5LeDMHIZ5YDZ2b1VOcYVcG,111.193,4.0,Hot In The City,0.67
23,Kool,0.867,1982-09-25,0.78,The Gang,disco,6.0,0.0,24,5de4lzCw2a6R075OX09eK3,117.433,4.0,Big Fun,0.975
24,Aretha Franklin,0.839,1982-09-25,0.642,none,christmas,11.0,1.0,25,3w4yEUymDEZWi85YQoNfx5,119.759,4.0,Jump To It,0.906
25,Laura Branigan,0.775,1982-09-25,0.866,none,dance rock,9.0,1.0,26,15ob9SMGLWrexuPuyuMjKl,131.34,4.0,Gloria,0.876
26,Juice Newton,0.264,1982-09-25,0.361,none,country dawn,4.0,1.0,27,2bzJjECwYBuzIMm8Ht2Irh,177.235,3.0,Break It To Me Gently,0.467
27,Randy Meisner,0.415,1982-09-25,0.54,none,soft rock,11.0,1.0,28,49Wwa0weJwnNgzfINnQXgf,105.103,4.0,Never Been In Love,0.464
28,Kim Carnes,0.616,1982-09-25,0.894,none,new wave pop,9.0,1.0,29,2biWZ2wYVEW5c3bhA7FMMY,138.459,4.0,Voyeur,0.624
29,Toto,0.659,1982-09-25,0.573,none,album rock,11.0,0.0,30,15taea6JZLAfG5OX0pzfG6,141.747,3.0,Make Believe,0.901
30,The Gap Band,0.796,1982-09-25,0.622,none,classic soul,2.0,1.0,31,1VKPiQJnV15flF5B3zeocD,126.464,4.0,You Dropped A Bomb On Me,0.795
31,Fleetwood Mac,0.709,1982-09-25,0.571,none,album rock,10.0,1.0,32,4kRMsLX7bJqjIfK44qJ9h6,124.739,4.0,Hold Me,0.779
32,Glenn Frey,0.603,1982-09-25,0.302,none,album rock,7.0,1.0,33,4uvARnZIajUDXWXPifhK3B,75.274,4.0,The One You Love,0.488
33,Kenny Loggins with Steve Perry,2.0,1982-09-25,2.0,none,NA,2.0,2.0,34,NA,2.0,2.0,Don't Fight It,2.0
