,artist,danceability,date,energy,featuring,genre,key,mode,rank,spotifyID,tempo,timesignature,track,valence
0,Tears For Fears,0.638,1985-06-03,0.8,none,art rock,7.0,1.0,1,4RvWPyQ5RL0ao9LPZeSouE,112.055,4.0,Everybody Wants To Rule The World,0.569
1,Wham!,0.9,1985-06-03,0.459,none,dance rock,6.0,0.0,2,5hXEcqQhEjfZdbIZLO8mf2,115.091,4.0,Everything She Wants,0.962
2,Harold Faltermeyer,0.796,1985-06-03,0.629,none,german soundtrack,1.0,1.0,3,090rX2ouW974AT3dFCxJpc,117.499,4.0,Axel F,0.55
3,Billy Ocean,0.496,1985-06-03,0.339,none,dance rock,10.0,0.0,4,65h7Qhxl2WfW31Bl6sjWAI,129.486,4.0,Suddenly,0.201
4,Bryan Adams,0.382,1985-06-03,0.589,none,album rock,9.0,0.0,5,7Ewz6bJ97vUqk5HdkvguFQ,140.059,4.0,Heaven,0.335
5,Howard Jones,0.752,1985-06-03,0.743,none,dance rock,7.0,1.0,6,1RbOObDFn7GOseR1w529Zj,108.254,4.0,Things Can Only Get Better,0.832
6,Mary Jane Girls,0.788,1985-06-03,0.439,none,classic soul,7.0,1.0,7,7iyjZ4paFWpTrJJenM0yZb,94.873,4.0,In My House,0.679
7,Simple Minds,0.66,1985-06-03,0.816,none,art rock,2.0,1.0,8,4aWn4NHlELpOehxsBaQeoe,111.346,4.0,Don't You (Forget About Me),0.678
8,Kool,0.838,1985-06-03,0.381,The Gang,disco,11.0,0.0,9,1mMYaXpT65iZDtvfRA9EkE,117.708,4.0,Fresh,0.95
9,Katrina And The Waves,0.596,1985-06-03,0.869,none,new wave pop,10.0,1.0,10,05wIrZSwuaVWhcv5FfqeH0,109.902,4.0,Walking On Sunshine,0.944
10,Madonna,0.752,1985-06-03,0.593,none,dance pop,7.0,1.0,11,7ov1nZ2QZc3LIuCXXERZP0,133.266,4.0,Angel,0.834
11,Phil Collins,0.714,1985-06-03,0.935,none,mellow gold,5.0,1.0,12,4qM461TqtpnP4GLRIXwEnW,121.232,4.0,Sussudio,0.725
12,Sade,0.734,1985-06-03,0.581,none,neo soul,9.0,0.0,13,3XEtw7t4V5sfd2vtkp0ql7,119.337,4.0,Smooth Operator,0.962
13,Glenn Frey,0.643,1985-06-03,0.721,none,album rock,5.0,1.0,14,2v7qe4TkWOM0upTIDcSnd3,123.73,4.0,Smuggler's Blues,0.831
14,Duran Duran,0.706,1985-06-03,0.814,none,dance rock,1.0,1.0,15,3O9zeBmAi5JRBMSpIQGx2v,125.472,4.0,A View To A Kill,0.778
15,Survivor,0.527,1985-06-03,0.342,none,album rock,3.0,1.0,16,1M3xrSPzPcKkCnXGHFPKaw,124.209,4.0,The Search Is Over,0.148
16,Prince And The Revolution,0.761,1985-06-03,0.67,none,funk,2.0,1.0,17,5jSz894ljfWE0IcHBSM39i,120.752,4.0,Raspberry Beret,0.91
17,Limahl,0.599,1985-06-03,0.622,none,italian disco,0.0,1.0,18,1F43XlPBiwAUUIhrUGzylO,122.312,4.0,Never Ending Story,0.851
18,David Lee Roth,0.567,1985-06-03,0.707,none,album rock,8.0,1.0,19,0QcIphdyZIVgFvW7ijEiPX,124.482,4.0,Just A Gigolo/I Ain't Got Nobody,0.747
19,Eurythmics,0.613,1985-06-03,0.912,none,dance rock,2.0,1.0,20,1lJZSsMoWEbrgaY6CxPMf8,131.962,4.0,Would I Lie To You?,0.732
20,Julian Lennon,0.657,1985-06-03,0.804,none,NA,7.0,1.0,21,4jty9ZxXwfTOmY6WkF8eK0,149.668,4.0,Say You're Wrong,0.918
21,Madonna,0.662,1985-06-03,0.719,none,dance pop,9.0,1.0,22,6B4oVElDIKRNcNUary0WG7,95.001,4.0,Crazy For You,0.511
22,Murray Head,0.892,1985-06-03,0.578,none,NA,10.0,1.0,23,6erBowZaW6Ur3vNOWhS2zM,108.703,4.0,One Night In Bangkok,0.621
23,REO Speedwagon,0.385,1985-06-03,0.556,none,album rock,5.0,1.0,24,0bMv24D8nZbBgjRdG2vcgE,151.849,4.0,One Lonely Night,0.296
24,'Til Tuesday,0.611,1985-06-03,0.645,none,boston rock,0.0,1.0,25,4eOycahNij77maJicwgHvy,106.639,4.0,Voices Carry,0.411
25,Whitney Houston,0.559,1985-06-03,0.365,none,dance pop,5.0,1.0,26,0t6DdFmFQhQYWhmfa5FJer,74.802,4.0,You Give Good Love,0.534
26,The Power Station,0.732,1985-06-03,0.893,none,dance rock,2.0,1.0,27,5fSVerSB7TpXkUF9BxTUcP,125.487,4.0,Some Like It Hot,0.654
27,Cyndi Lauper,0.71,1985-06-03,0.807,none,dance pop,1.0,0.0,28,1hY60LJWE6B9gHV1Oi9kE5,139.551,4.0,The Goonies `R' Good Enough,0.946
28,USA For Africa,2.0,1985-06-03,2.0,none,NA,2.0,2.0,29,NA,2.0,2.0,We Are The World,2.0
29,John Cafferty,0.609,1985-06-03,0.799,The Beaver Brown Band,album rock,9.0,1.0,30,5u9hEzSlbzmZpwopPn1j9G,132.961,4.0,Tough All Over,0.505
30,Paul Young,0.607,1985-06-03,0.643,none,album rock,5.0,1.0,31,0IpfTMKENGLJcULkMnU8Rb,164.256,4.0,Everytime You Go Away,0.715
31,Debarge,0.707,1985-06-03,0.759,none,disco,11.0,0.0,32,5yGTQzYbEdY6B9RFZJypgt,115.142,4.0,Rhythm Of The Night,0.955
32,Night Ranger,0.653,1985-06-03,0.617,none,album rock,0.0,1.0,33,00bFaR6IDOyGSuRDpmFotJ,99.647,4.0,Sentimental Street,0.545
33,The Beach Boys,0.629,1985-06-03,0.83,none,brill building pop,1.0,0.0,34,76t7JPmNdbz5eaGxv8RiUI,114.966,4.0,Getcha Back,0.723
34,Alison Moyet,0.652,1985-06-03,0.605,none,dance rock,2.0,1.0,35,6vYYt9fTorwdo6sxoceMQC,96.808,4.0,Invisible,0.72
35,Kim Carnes,0.679,1985-06-03,0.717,none,new wave pop,5.0,1.0,36,5khREGRH6JY3ZEK9K0dNqI,117.079,4.0,Crazy In The Night (Barking At Airplanes),0.836
36,Bruce Springsteen,0.574,1985-06-03,0.96,none,heartland rock,9.0,1.0,37,2Y90nL1ohB4sgYELDs7uNx,117.486,4.0,Glory Days,0.978
37,Mick Jagger,2.0,1985-06-03,2.0,none,NA,2.0,2.0,38,NA,2.0,2.0,Lucky In Love,2.0
38,Supertramp,0.773,1985-06-03,0.72,none,album rock,2.0,0.0,39,1lKHVNzrrngPJ1hgipyEXm,127.223,4.0,Cannonball,0.798
39,Air Supply,0.412,1985-06-03,0.53,none,adult standards,2.0,1.0,40,6t3AWR3OsMKJGLc5ti1FoM,76.262,4.0,Just As I Am,0.551
40,Luther Vandross,0.804,1985-06-03,0.714,none,disco,11.0,0.0,41,2R97RZWUx4vAFbMMtmb5Ss,139.663,4.0,'Til My Baby Comes Home,0.802
41,Tom Petty And The Heartbreakers,0.52,1985-06-03,0.645,none,album rock,5.0,1.0,42,0AEXJF8D64oc9o62fQMEyD,160.618,4.0,Don't Come Around Here No More,0.932
42,Graham Parker,0.669,1985-06-03,0.477,The Shot,alternative country,9.0,1.0,43,18TicczroPMkAj88BcEVSF,105.54,4.0,Wake Up (Next To You),0.691
43,Sting,0.65,1985-06-03,0.828,none,permanent wave,9.0,0.0,44,5Xhqe9xu6bKRSqLj1mS1SB,125.055,4.0,If You Love Somebody Set Them Free,0.791
