,artist,danceability,date,energy,featuring,genre,key,mode,rank,spotifyID,tempo,timesignature,track,valence
0,Ricky Nelson,0.543,1958-08-05,0.332,none,adult standards,0.0,1.0,1,5ayybTSXNwcarDtxQKqvWX,154.999,4.0,Poor Little Fool,0.795
1,Domenico Modugno,0.518,1958-08-05,0.06,none,classic italian pop,10.0,1.0,2,006Ndmw2hHxvnLbJsBFnPx,127.87,4.0,Nel Blu Dipinto Di Blu (Volaré),0.336
2,Perez Prado And His Orchestra,2.0,1958-08-05,2.0,none,NA,2.0,2.0,3,NA,2.0,2.0,Patricia,2.0
3,Bobby Darin,0.645,1958-08-05,0.943,none,adult standards,0.0,1.0,4,40fD7ct05FvQHLdQTgJelG,147.768,4.0,Splish Splash,0.965
4,Kalin Twins,0.646,1958-08-05,0.582,none,NA,6.0,1.0,5,1BQOMZeYwzesvXANmRgrEp,96.49,4.0,When,0.963
5,Jack Scott,0.554,1958-08-05,0.189,none,brill building pop,4.0,1.0,6,2urRqmAFhjZKo8Z6sEGzEv,136.714,3.0,My True Love,0.214
6,Elvis Presley With The Jordanaires,2.0,1958-08-05,2.0,none,NA,2.0,2.0,7,NA,2.0,2.0,Hard Headed Woman,2.0
7,Duane Eddy His Twangy Guitar And The Rebels,2.0,1958-08-05,2.0,none,NA,2.0,2.0,8,NA,2.0,2.0,Rebel-'rouser,2.0
8,Jimmy Clanton And His Rockets,0.61,1958-08-05,0.326,none,NA,7.0,1.0,9,5wXrG4NXZV0GgvGtqOJdwl,125.822,3.0,Just A Dream,0.415
9,The Johnny Otis Show,0.897,1958-08-05,0.367,none,karaoke,4.0,1.0,9,750N0KwpG7D36cXO4gqnOc,100.755,4.0,Willie And The Hand Jive,0.957
10,The Coasters,0.715,1958-08-05,0.669,none,adult standards,7.0,1.0,11,7demHL0GXA6YmTNqw3Btz8,120.789,4.0,Yakety Yak,0.976
11,Pat Boone,0.31,1958-08-05,0.122,none,adult standards,3.0,1.0,12,3bOkX6Yz6Pe4NByWzuJY6G,83.152,4.0,If Dreams Came True,0.342
12,Peggy Lee,0.794,1958-08-05,0.0715,none,adult standards,7.0,1.0,13,6eCsRg7OBi1zT2CEKKyoXN,68.331,4.0,Fever,0.333
13,The Elegants,0.408,1958-08-05,0.397,none,doo-wop,9.0,1.0,14,3c7KT5CN8uYRaK3xThhdYt,72.615,4.0,Little Star,0.697
14,Frankie Avalon,0.573,1958-08-05,0.755,none,adult standards,8.0,1.0,15,1dE8huV910G5VBqhQMmYkJ,148.105,4.0,Ginger Bread,0.97
15,Doris Day,0.649,1958-08-05,0.289,none,adult standards,3.0,1.0,16,3ujAAE4WKp9HlZsXe0jdq6,184.211,4.0,Everybody Loves A Lover,0.629
16,The Danleers,0.421,1958-08-05,0.356,none,doo-wop,9.0,1.0,17,0lLMgROgXxjjwtg0VDo4oJ,98.393,3.0,One Summer Night,0.514
17,Poni-Tails,0.501,1958-08-05,0.516,none,classic girl group,4.0,1.0,18,7EPagGDPW2Rd2c2NOBSNsn,84.984,4.0,Born Too Late,0.87
18,Patti Page,2.0,1958-08-05,2.0,none,NA,2.0,2.0,19,NA,2.0,2.0,Left Right Out Of Your Heart (Hi Lee Hi Lo Hi Lup Up Up),2.0
19,Jody Reynolds,0.587,1958-08-05,0.184,none,NA,4.0,1.0,20,7u07WDKGH6LQ0E8evYhrWY,111.195,4.0,Endless Sleep,0.529
20,The Olympics,0.668,1958-08-05,0.457,none,doo-wop,7.0,1.0,21,398Q0gLfmsjJ5GFx9W2q5Y,120.494,4.0,Western Movies,0.691
21,Johnny Cash And The Tennessee Two,2.0,1958-08-05,2.0,none,NA,2.0,2.0,22,NA,2.0,2.0,Guess Things Happen That Way,2.0
22,Jerry Butler and The Impressions,0.365,1958-08-05,0.438,none,funk,2.0,1.0,23,2UL1EwS6tfbNrdH805oyvi,75.55,3.0,For Your Precious Love,0.506
23,The Rinky-Dinks,0.609,1958-08-05,0.609,none,NA,5.0,1.0,24,19qkesdHjvJEZztR8kFuY3,108.965,4.0,Early In The Morning,0.959
24,Buddy Knox with the Rhythm Orchids,2.0,1958-08-05,2.0,none,NA,2.0,2.0,25,NA,2.0,2.0,Somebody Touched Me,2.0
25,Jimmie Rodgers,0.7,1958-08-05,0.195,none,brill building pop,1.0,1.0,26,2oPz7fWUmfeNG00NVf5uNa,101.858,4.0,Are You Really Mine,0.58
26,Bobby Freeman,0.625,1958-08-05,0.438,none,doo-wop,0.0,1.0,27,4Ooa3XHB45iIgpwCeKCTNL,155.537,4.0,Do You Want To Dance,0.957
27,Johnny Mathis,0.233,1958-08-05,0.337,none,adult standards,5.0,1.0,28,76eNJQoJmN4mfsUW0q8HPv,73.576,4.0,A Certain Smile,0.218
28,The Four Lads,0.346,1958-08-05,0.552,none,adult standards,2.0,1.0,29,57B3mnikM2T46LWm8Y9e8P,84.648,4.0,Enchanted Island,0.371
29,Perry Como,2.0,1958-08-05,2.0,none,NA,2.0,2.0,30,NA,2.0,2.0,Moon Talk,2.0
30,Chuck Willis,0.667,1958-08-05,0.391,none,doo-wop,10.0,1.0,31,6eIEXINZt8rtgqEtOxP9ur,101.3,3.0,What Am I Living For,0.682
