,artist,danceability,date,energy,featuring,genre,key,mode,rank,spotifyID,tempo,timesignature,track,valence
0,Aretha Franklin,0.805,1967-06-10,0.558,none,christmas,0.0,1.0,1,7s25THrKz86DM225dOYwnr,114.95,4.0,Respect,0.965
1,The Young Rascals,0.605,1967-06-10,0.455,none,brill building pop,5.0,0.0,2,3c2kMiSB86tVq1J4oULmvL,106.825,4.0,Groovin',0.678
2,The Happenings,0.501,1967-06-10,0.358,none,brill building pop,0.0,1.0,3,0McquIDG7V5E6biGOsal0T,132.327,4.0,I Got Rhythm,0.541
3,Engelbert Humperdinck,0.366,1967-06-10,0.503,none,adult standards,3.0,1.0,4,1kJ2VFimNH9RYxloaXNWde,107.481,4.0,Release Me (And Let Me Love Again),0.552
4,Paul Revere,0.532,1967-06-10,0.737,The Raiders,brill building pop,3.0,1.0,5,6LfndkdNnds0D5m56mucEW,97.365,4.0,Him Or Me - What's It Gonna Be?,0.918
5,Jefferson Airplane,0.504,1967-06-10,0.578,none,album rock,4.0,1.0,6,4uGIJG1jYFonGc4LGp5uQL,132.411,4.0,Somebody To Love,0.654
6,The Turtles,0.489,1967-06-10,0.775,none,brill building pop,6.0,1.0,7,7Ko8eQ58gmHF8m3drHGUZT,124.335,4.0,She'd Rather Be With Me,0.939
7,The Music Explosion,0.602,1967-06-10,0.679,none,NA,7.0,1.0,8,75obkRHfYSwnd20wXMreRO,136.459,4.0,Little Bit O' Soul,0.889
8,The Temptations,0.594,1967-06-10,0.632,none,brill building pop,10.0,1.0,9,6mdLen2d7jtAzDig0GgKKA,98.121,4.0,All I Need,0.743
9,The Mamas,0.581,1967-06-10,0.748,The Papas,brill building pop,11.0,1.0,10,2pfEVSZdq5McocgAYWhgLu,145.067,4.0,Creeque Alley,0.804
10,Tommy James And The Shondells,0.671,1967-06-10,0.541,none,bubblegum pop,9.0,1.0,11,4wg2fVMukZI9BFnL64NpGj,128.583,4.0,Mirage,0.732
11,The Association,0.677,1967-06-10,0.722,none,adult standards,5.0,1.0,12,6RUpOheT93fUdI508K5w6U,132.996,4.0,Windy,0.898
12,The Tremeloes,0.514,1967-06-10,0.882,none,adult standards,7.0,1.0,13,4jKq3767lb2mWKCvas6E7Z,92.147,4.0,Here Comes My Baby,0.942
13,Spanky And Our Gang,0.477,1967-06-10,0.671,none,brill building pop,2.0,1.0,14,42ccaJliexMY66rWpnaGId,121.452,4.0,Sunday Will Never Be The Same,0.78
14,The Grass Roots,0.592,1967-06-10,0.356,none,album rock,8.0,0.0,15,2IobDyMywYgrJAdLpRvqvT,115.491,4.0,Let's Live For Today,0.597
15,Every Mothers' Son,0.606,1967-06-10,0.686,none,bubblegum pop,10.0,1.0,16,4TNSKn822wrCkIwcDPtX4S,127.882,4.0,Come On Down To My Boat,0.96
16,Frankie Valli,0.576,1967-06-10,0.849,none,adult standards,1.0,0.0,17,2vFsVQinDmPnYiVTc4tmR7,123.869,4.0,Can't Take My Eyes Off You,0.512
17,The Lovin' Spoonful,0.592,1967-06-10,0.483,none,art rock,7.0,1.0,18,1wl5GcyBRd8vuu1AURLU6z,126.499,4.0,Six O'Clock,0.719
18,Four Tops,0.452,1967-06-10,0.694,none,adult standards,3.0,0.0,19,59IxJQuFPmW4Xvy7GynZDF,89.262,4.0,7 Rooms Of Gloom,0.874
19,The Hollies,0.588,1967-06-10,0.562,none,adult standards,0.0,1.0,20,0zV8gHHcSVDy9czQWrztC3,121.312,4.0,On A Carousel,0.698
20,Jon,0.549,1967-06-10,0.409,Robin And The In Crowd,NA,9.0,1.0,21,6DwtAp7r8TL1ZcYwI5BOKI,147.169,4.0,Do It Again A Little Bit Slower,0.719
21,The Easybeats,0.374,1967-06-10,0.991,none,australian rock,9.0,1.0,22,2CT08rpgdut8qQs7IAzMGi,95.105,4.0,Friday On My Mind,0.51
22,The Marvelettes,0.506,1967-06-10,0.584,none,brill building pop,8.0,1.0,23,3URfKi5DOvUaJMuTuT8osm,117.567,4.0,When You're Young And In Love,0.554
23,Neil Diamond,0.515,1967-06-10,0.716,none,adult standards,5.0,1.0,24,0ZDvNZmzEHgInFWSloRHje,109.548,4.0,"Girl, You'll Be A Woman Soon",0.687
24,The Supremes,0.382,1967-06-10,0.761,none,adult standards,8.0,1.0,25,6WGtWrzsyCtHjUod3dKbIU,171.919,4.0,The Happening,0.841
25,Bee Gees,2.0,1967-06-10,2.0,none,NA,2.0,2.0,26,NA,2.0,2.0,"New York Mining Disaster 1941 (Have You Seen My Wife, Mr. Jones)",2.0
26,Arthur Conley,0.59,1967-06-10,0.659,none,classic soul,5.0,1.0,27,0pvA063uNyGQFp7DNtmk0P,80.201,4.0,Sweet Soul Music,0.965
27,Dionne Warwick,0.317,1967-06-10,0.293,none,adult standards,10.0,1.0,28,5eeZr5k6eprE1NToNTZuxs,137.06,4.0,Alfie,0.183
28,Marvin Gaye,0.62,1967-06-10,0.813,Tammi Terrell,classic soul,11.0,0.0,29,76resiPGue5Cum9rLUKCj0,129.38,4.0,Ain't No Mountain High Enough,0.832
29,Otis,0.89,1967-06-10,0.377,Carla,christmas,5.0,1.0,30,6Hon1lHa9Y5rMMTrTySoLV,106.979,4.0,Tramp,0.907
30,Whistling Jack Smith,2.0,1967-06-10,2.0,none,NA,2.0,2.0,31,NA,2.0,2.0,I Was Kaiser Bill's Batman,2.0
31,Scott McKenzie,0.566,1967-06-10,0.505,none,bubblegum pop,7.0,1.0,32,6UsdldEfcEXSID2G3nA89J,113.145,4.0,San Francisco (Be Sure To Wear Flowers In Your Hair),0.649
32,The Fifth Estate,0.633,1967-06-10,0.717,none,bubblegum pop,7.0,1.0,33,1aJqvwsyVAPi4BpMpO40bT,115.205,4.0,Ding Dong! The Witch Is Dead,0.937
33,The Buckinghams,0.41,1967-06-10,0.566,none,brill building pop,6.0,0.0,34,7qWwWg1oIczYhL3kVyabG3,142.037,4.0,Don't You Care,0.669
34,Peaches,0.489,1967-06-10,0.208,Herb,classic soul,7.0,1.0,35,0d9rN4NbUgOtuPyQa2286E,81.489,3.0,Close Your Eyes,0.48
35,James,0.706,1967-06-10,0.516,Bobby Purify,classic soul,10.0,1.0,36,6H8WMHCov3QGaPLbpOMpcJ,94.428,4.0,Shake A Tail Feather,0.748
36,Ray Charles,0.622,1967-06-10,0.299,none,adult standards,10.0,1.0,37,1bhuvevmcDLS2fyLjIqSDW,99.718,3.0,Here We Go Again,0.424
37,The Who,0.564,1967-06-10,0.591,none,album rock,2.0,1.0,38,4EQL3I68WEw20icaY5y6Cy,128.982,4.0,Happy Jack,0.958
38,Jerry Jaye,0.559,1967-06-10,0.867,none,NA,9.0,1.0,39,1INEmvIGCk92Vg5Bk4VfWY,82.33,4.0,My Girl Josephine,0.961
39,Gary Lewis And The Playboys,0.661,1967-06-10,0.526,none,adult standards,9.0,1.0,40,5w4KVUZN11WOhTdNO8Nj6r,123.413,4.0,Girls In Love,0.679
40,Nancy Sinatra,0.295,1967-06-10,0.255,Frank Sinatra,adult standards,4.0,1.0,41,1x4cWY0XlKELUqGjVYGn6V,208.088,4.0,Somethin' Stupid,0.455
41,The Five Americans,0.605,1967-06-10,0.482,none,bubblegum pop,9.0,1.0,42,3o0N82o5YBI0S86ZIXqIfa,124.327,4.0,Sound Of Love,0.894
42,Brenton Wood,0.881,1967-06-10,0.639,none,classic soul,7.0,1.0,43,7fp41IDi1dqARoX0Nuvz5O,112.645,4.0,The Oogum Boogum Song,0.864
43,The 5th Dimension,0.3,1967-06-10,0.601,none,adult standards,7.0,1.0,44,3wu9uLjDQnqNiNPh7AxcDM,118.066,4.0,Up -- Up And Away,0.426
44,Johnny Rivers,0.432,1967-06-10,0.431,none,brill building pop,2.0,1.0,45,5mF5vKAxLU0LHCQQ8eP4Wv,100.904,4.0,The Tracks Of My Tears,0.673
45,James Brown And The Famous Flames,0.751,1967-06-10,0.681,none,funk,1.0,1.0,46,0nXQk9wB5hE0KIAzuma3OY,114.105,4.0,Let Yourself Go,0.221
46,Harpers Bizarre,0.405,1967-06-10,0.544,none,bubblegum pop,8.0,1.0,47,2AsKp0FZXhEQbDydYw6t4q,153.601,4.0,Come To The Sunshine,0.592
47,Janis Ian,0.383,1967-06-10,0.304,none,folk,10.0,1.0,48,4ygQFe0kTwEQYUc0SjMr58,105.991,4.0,Society's Child (Baby I've Been Thinking),0.201
48,Petula Clark,0.394,1967-06-10,0.486,none,adult standards,10.0,1.0,49,1ljijVo7rDHSuXIhydPpNl,133.685,4.0,Don't Sleep In The Subway,0.427
49,The Seeds,0.699,1967-06-10,0.384,none,classic garage rock,7.0,1.0,50,6nnSkEpzo8PmHsOlSopoO6,109.573,4.0,Can't Seem To Make You Mine,0.584
50,Booker T.,0.808,1967-06-10,0.321,The MG's,classic soul,3.0,1.0,51,4lkwEgSppKli27thHdeRgc,109.029,4.0,Hip Hug-Her,0.86
51,Al Martino,0.478,1967-06-10,0.345,none,adult standards,0.0,1.0,52,0XQHM6hCq87DndVRONPzI5,133.624,4.0,Mary In The Morning,0.668
52,"Oscar Toney, Jr.",0.489,1967-06-10,0.391,none,southern soul,2.0,1.0,53,1us3B4JET9DGY5VLcVYTAQ,77.306,3.0,For Your Precious Love,0.425
53,Otis Redding,0.583,1967-06-10,0.471,none,christmas,7.0,0.0,54,6RkyopJ2y0DnoIrq57zrap,163.364,4.0,Shake,0.796
54,Tom Jones,0.452,1967-06-10,0.403,none,adult standards,11.0,1.0,55,4j3BX19jfJpCrBoCFaSxNB,86.58,3.0,Funny Familiar Forgotten Feelings,0.446
55,The Hollies,0.328,1967-06-10,0.512,none,adult standards,0.0,1.0,56,49BkjVIwWuO5lk23uhZcJz,121.785,4.0,Pay You Back With Interest,0.545
56,Eddy Arnold,0.309,1967-06-10,0.226,none,christmas,8.0,1.0,57,5xshoeAeMRgUbXzfHf4eDs,112.208,3.0,Misty Blue,0.344
57,Sammy Davis Jr.,2.0,1967-06-10,2.0,none,NA,2.0,2.0,58,NA,2.0,2.0,Don't Blame The Children,2.0
58,The Intruders,0.257,1967-06-10,0.469,none,classic soul,5.0,1.0,59,45Jgw3NerBUAFbwYWK3pAT,173.504,4.0,Together,0.766
59,The Everly Brothers,0.544,1967-06-10,0.554,none,adult standards,7.0,1.0,60,5kr5oIPoXcl7eJXHRQGyoS,123.523,4.0,Bowling Green,0.633
60,The Doors,0.413,1967-06-10,0.725,none,album rock,3.0,0.0,61,5uvosCdMlFdTXhoazkTI5R,124.618,4.0,Light My Fire,0.44
61,Ed Ames,0.174,1967-06-10,0.267,none,adult standards,4.0,1.0,62,1YwJty9B8TUALchsy02WrQ,81.855,3.0,"Time, Time",0.244
62,Elvis Presley With The Jordanaires,2.0,1967-06-10,2.0,none,NA,2.0,2.0,63,NA,2.0,2.0,Long Legged Girl (With The Short Dress On),2.0
63,King Curtis,0.685,1967-06-10,0.356,none,jazz blues,0.0,1.0,64,3gssejEDv7U1VY6vXirrK2,116.933,4.0,Jump Back,0.531
64,Fantastic Four,0.488,1967-06-10,0.444,none,motown,6.0,1.0,65,19jsn1Q99no8Xan3fLMHPx,182.039,4.0,You Gave Me Something (And Everything's Alright),0.488
65,The 4 Seasons ,0.451,1967-06-10,0.747,"the ""Sound of Frankie Valli""",adult standards,10.0,0.0,66,3qLGJcwgb2Pe9xiCHpxgpH,200.956,4.0,C'mon Marianne,0.816
66,The Dave Clark Five,2.0,1967-06-10,2.0,none,NA,2.0,2.0,67,NA,2.0,2.0,You Must Have Been A Beautiful Baby,2.0
67,Stevie Wonder,0.371,1967-06-10,0.613,none,adult standards,7.0,0.0,68,2aCKBrLn7rbhStk5k4FwnF,203.732,4.0,I Was Made To Love Her,0.873
68,Brenda,0.21,1967-06-10,0.249,The Tabulations,classic soul,10.0,1.0,69,4xTO6qvRnREo3Axva7SGdo,169.216,3.0,Stay Together Young Lovers,0.154
69,Bar-Kays,0.736,1967-06-10,0.462,none,classic soul,4.0,1.0,70,085diW9d1iWe9qeNQiDYOw,115.845,4.0,Soul Finger,0.859
70,Freddie Scott,0.617,1967-06-10,0.546,none,southern soul,9.0,1.0,71,6qdH0VhNp36DKtsWmmTkOU,98.393,4.0,Am I Grooving You,0.619
71,The Sweet Inspirations,0.639,1967-06-10,0.1,none,brill building pop,4.0,1.0,72,4V3KUwlCYLJXDhpWLIfYVp,81.253,4.0,Why (Am I Treated So Bad),0.577
