,artist,danceability,date,energy,featuring,genre,key,mode,rank,spotifyID,tempo,timesignature,track,valence
0,Phil Collins,0.78,1990-01-13,0.565,none,mellow gold,3.0,0.0,1,1NCuYqMc8hKMb4cpNTcJbD,101.967,4.0,Another Day In Paradise,0.365
1,Janet Jackson,0.637,1990-01-13,0.933,none,dance pop,1.0,1.0,2,4nTYxxF8iWBq54LO3dBUie,109.111,4.0,Rhythm Nation,0.687
2,Technotronic ,0.862,1990-01-13,0.918,Felly,eurodance,10.0,0.0,3,0UAEHlFR79k9CJvknSGUNf,124.811,4.0,Pump Up The Jam,0.651
3,Michael Bolton,0.541,1990-01-13,0.44,none,adult standards,10.0,1.0,4,3RMeOetCdXttthQK0clPuz,140.273,4.0,How Am I Supposed To Live Without You,0.232
4,Linda Ronstadt (,0.401,1990-01-13,0.285,Aaron Neville),adult standards,11.0,1.0,5,4x9y3JSvsjBTbm4uEnBrdT,130.465,4.0,Don't Know Much,0.267
5,Jody Watley,0.584,1990-01-13,0.683,none,disco,0.0,1.0,6,6Bv2bQvYZDJLVlMPbmuFQm,164.094,4.0,Everything,0.583
6,New Kids On The Block,0.594,1990-01-13,0.421,none,boy band,7.0,0.0,7,78bDGxqn2KF2VU1G3Kz6J0,74.041,4.0,This One's For The Children,0.637
7,Cher,0.405,1990-01-13,0.563,none,dance pop,8.0,1.0,8,5JGdpqo9wrRtOZtui5GShI,137.979,4.0,Just Like Jesse James,0.478
8,Taylor Dayne,0.764,1990-01-13,0.835,none,dance pop,5.0,1.0,9,75EWMglG5w7sNFnRpRTAHV,121.341,4.0,With Every Beat Of My Heart,0.975
9,Lou Gramm,0.742,1990-01-13,0.753,none,album rock,0.0,1.0,10,1fMvhGvNGrumP5MKKDf61e,121.519,4.0,Just Between You And Me,0.878
10,Jive Bunny,0.865,1990-01-13,0.512,The Mastermixers,NA,8.0,1.0,11,3Aimpqxpvmz7jhJlNnEd5c,92.512,4.0,Swing The Mood,0.879
11,Rod Stewart,0.527,1990-01-13,0.584,none,adult standards,10.0,1.0,12,5XJzh2c0roCc6GDs8PrILx,114.941,4.0,Downtown Train,0.271
12,Tom Petty,0.63,1990-01-13,0.449,none,album rock,5.0,1.0,13,5tVA6TkbaAH9QMITTQRrNv,84.378,4.0,Free Fallin',0.623
13,Tesla,0.354,1990-01-13,0.326,none,album rock,7.0,1.0,14,0vJUdIefT5caKla9H8b1q4,165.882,4.0,Love Song,0.315
14,Seduction,0.78,1990-01-13,0.612,none,freestyle,0.0,1.0,15,6GS6uE1vDmtzxO8GztAR2O,114.414,4.0,Two To Make It Right,0.712
15,Billy Joel,0.712,1990-01-13,0.967,none,album rock,7.0,1.0,16,3Cx4yrFaX8CeHwBMReOWXI,145.024,4.0,We Didn't Start The Fire,0.895
16,Joe Cocker,0.535,1990-01-13,0.63,none,blues-rock,1.0,1.0,17,2HM42m9OHA1kEHbB5j7rDk,82.003,4.0,When The Night Comes,0.454
17,Soul II Soul,0.817,1990-01-13,0.485,none,disco,7.0,1.0,18,7vvRkLPIvfjjmCIqNxBuEZ,100.978,4.0,Back To Life,0.672
18,Skid Row,0.345,1990-01-13,0.531,none,album rock,0.0,1.0,19,4ZpXHlV2vQVfPXUvbDSZ92,176.302,4.0,I Remember You,0.49
19,Aerosmith,0.632,1990-01-13,0.822,none,album rock,5.0,1.0,20,5fMwvrqujbQjUxcNPcYrUF,115.113,4.0,Janie's Got A Gun,0.434
20,Milli Vanilli,0.758,1990-01-13,0.827,none,new wave pop,4.0,0.0,21,2dPpQv8sCPeEaA4oz7ZjQC,97.515,4.0,Blame It On The Rain,0.506
21,Quincy Jones ,0.745,1990-01-13,0.894,Ray Charles,adult standards,11.0,0.0,22,4cLXNwNqXWT1CTR5Gyr7ei,109.92,4.0,I'll Be Good To You,0.789
22,Eddie Money,0.597,1990-01-13,0.832,none,album rock,11.0,1.0,23,5sR6s1SsKPnV77vTqc6PIx,122.01,4.0,Peace In Our Time,0.394
23,Madonna,0.576,1990-01-13,0.268,none,dance pop,0.0,1.0,24,5vk7txLRuAjNatZD8OCrf4,115.952,3.0,Oh Father,0.175
24,Babyface,0.454,1990-01-13,0.548,none,dance pop,11.0,0.0,25,4D13ulAZI1V7PG7Zg1Ar7r,73.011,4.0,Tender Lover,0.598
25,Paula Abdul (Duet With The Wild Pair),2.0,1990-01-13,2.0,none,NA,2.0,2.0,26,NA,2.0,2.0,Opposites Attract,2.0
26,The Rolling Stones,0.693,1990-01-13,0.826,none,album rock,9.0,0.0,27,1N44JSbAPNZYQVRulWBE6k,129.049,4.0,Rock And A Hard Place,0.93
27,Bon Jovi,0.267,1990-01-13,0.793,none,glam metal,4.0,1.0,28,4urd42euwvihhC3j1G8Jt2,174.118,4.0,Living In Sin,0.526
