,artist,danceability,date,energy,featuring,genre,key,mode,rank,spotifyID,tempo,timesignature,track,valence
0,Wilson Phillips,0.724,1990-09-15,0.471,none,girl group,0.0,1.0,1,1rIy3lkFJnMsTLZpxFmYU8,97.211,4.0,Release Me,0.442
1,Jon Bon Jovi,0.553,1990-09-15,0.611,none,classic rock,7.0,1.0,2,1sUTfgduT0WIQO8kXKXxLC,78.683,4.0,"Blaze Of Glory (From ""Young Guns II"")",0.37
2,Bell Biv DeVoe,0.722,1990-09-15,0.777,none,boy band,11.0,0.0,3,3an1aoJKoBXJKoIfdDbVwf,107.804,4.0,Do Me!,0.707
3,M.C. Hammer,2.0,1990-09-15,2.0,none,NA,2.0,2.0,4,NA,2.0,2.0,Have You Seen Her,2.0
4,Poison,0.574,1990-09-15,0.93,none,album rock,1.0,1.0,5,1Z6lKdYhwp8WYoBqGCKxlM,92.303,4.0,Unskinny Bop,0.69
5,Nelson,0.543,1990-09-15,0.902,none,glam metal,1.0,1.0,6,3JjY2L2bqql54j1SjnjQ23,121.419,4.0,(Can't Live Without Your) Love And Affection,0.855
6,Prince,0.775,1990-09-15,0.676,none,funk,5.0,0.0,7,403oiKw757eJnbDKPSjhHV,129.948,4.0,Thieves In The Temple,0.646
7,Sweet Sensation,0.493,1990-09-15,0.453,none,electro,3.0,1.0,8,5gAdATsfINRIljv4LbrKX2,143.725,4.0,If Wishes Came True,0.188
8,New Kids On The Block,0.469,1990-09-15,0.386,none,boy band,2.0,1.0,9,2QqbBVwpyJn7SL7thga35w,102.476,4.0,Tonight,0.383
9,Maxi Priest,0.762,1990-09-15,0.646,none,dancehall,10.0,0.0,10,680kMGV6szhTiZbHRr3vLi,95.992,4.0,Close To You,0.819
10,Phil Collins,0.656,1990-09-15,0.88,none,mellow gold,5.0,0.0,11,4ziqqoW1o3P5EhNqK6CPb1,114.613,4.0,Something Happened On The Way To Heaven,0.88
11,Mariah Carey,0.256,1990-09-15,0.463,none,dance pop,5.0,1.0,12,0gLQ6jhJsyYfl7PrD1RZ7X,205.362,3.0,Vision Of Love,0.354
12,Cheap Trick,0.648,1990-09-15,0.676,none,album rock,6.0,0.0,13,1HSV3wfPeq8fp0uAJ2rZ4Q,107.647,4.0,Can't Stop Falling Into Love,0.854
13,Janet Jackson,0.203,1990-09-15,0.414,none,dance pop,5.0,0.0,14,0NSSqYISjnav81CEn6EgBY,78.935,4.0,Come Back To Me,0.065
14,Paul Young,0.57,1990-09-15,0.575,none,album rock,9.0,1.0,15,0YqhqbLNpfQetrwuLaVTiK,135.903,4.0,Oh Girl,0.421
