,artist,danceability,date,energy,featuring,genre,key,mode,rank,spotifyID,tempo,timesignature,track,valence
0,Carl Douglas,0.598,1974-12-07,0.673,none,disco,2.0,1.0,1,40NRm1ZLvZpUSCUXAGGZ8J,102.035,4.0,Kung Fu Fighting,0.59
1,Billy Swan,0.471,1974-12-07,0.675,none,swamp pop,0.0,1.0,2,4oW1lGOw5Q5OLvoJv92qoE,125.313,4.0,I Can Help,0.53
2,The Three Degrees,0.542,1974-12-07,0.595,none,classic girl group,9.0,1.0,3,2k3b3uzuEQJLmSV9BlSZTM,120.645,4.0,When Will I See You Again,0.777
3,B.T. Express,0.703,1974-12-07,0.761,none,disco,10.0,1.0,4,4lnQfs7AmQm6dqCaNMDJLr,104.838,4.0,Do It ('til You're Satisfied),0.652
4,Harry Chapin,0.489,1974-12-07,0.577,none,folk,10.0,1.0,5,2obblQ6tcePeOEVJV6nEGD,78.112,4.0,Cat's In The Cradle,0.519
5,Helen Reddy,0.563,1974-12-07,0.34,none,adult standards,7.0,0.0,6,7Jx87mZSCjUWlVDCLiRFK6,80.324,4.0,Angie Baby,0.595
6,Bobby Vinton,0.382,1974-12-07,0.483,none,adult standards,9.0,1.0,7,0kWgvFMSjTcmN0YHjmNxgO,82.612,4.0,My Melody Of Love,0.461
7,Bachman-Turner Overdrive,2.0,1974-12-07,2.0,none,NA,2.0,2.0,8,NA,2.0,2.0,You Ain't Seen Nothing Yet/Free Wheelin',2.0
8,Al Green,0.747,1974-12-07,0.395,none,classic soul,0.0,1.0,9,2J9ChZBgjDLdGaIKdKQcP0,110.726,4.0,Sha-La-La (Make Me Happy),0.85
9,Barry White,0.631,1974-12-07,0.59,none,adult standards,5.0,1.0,10,3rqXP37YkEnizabzjM7uIu,130.145,4.0,"You're The First, The Last, My Everything",0.927
10,Chicago,0.436,1974-12-07,0.354,none,adult standards,2.0,0.0,11,5hxPho3IcyDVhzzwfQ47Xz,136.625,4.0,Wishing You Were Here,0.397
11,Paul McCartney And Wings,2.0,1974-12-07,2.0,none,NA,2.0,2.0,12,NA,2.0,2.0,Junior's Farm/Sally G,2.0
12,Neil Diamond,0.606,1974-12-07,0.654,none,adult standards,4.0,1.0,13,6zGQxFFSfqyTI6tnH7E9DF,121.238,4.0,Longfellow Serenade,0.763
13,Carl Carlton,0.547,1974-12-07,0.826,none,disco,4.0,1.0,14,5i7rT8lbGzjj1n7TTXR5U8,121.406,4.0,Everlasting Love,0.504
14,Rufus ,0.565,1974-12-07,0.695,Chaka Khan,NA,0.0,1.0,15,4y1vMFRC4T2P43ovfvOor7,97.246,4.0,You Got The Love,0.951
15,The Pointer Sisters,0.44,1974-12-07,0.541,none,dance rock,8.0,1.0,16,4t8OiAzSLbCY26pzTKwF88,129.006,4.0,Fairytale,0.642
