,artist,danceability,date,energy,featuring,genre,key,mode,rank,spotifyID,tempo,timesignature,track,valence
0,Marty Robbins,0.654,1960-01-04,0.452,none,christmas,2.0,1.0,1,4f8hBeMXMvssn6HtFAtblo,106.662,3.0,El Paso,0.691
1,Frankie Avalon,0.479,1960-01-04,0.286,none,adult standards,5.0,1.0,2,63eociIYMicbCrwXYxxhOQ,94.05,4.0,Why,0.599
2,Miss Toni Fisher,0.544,1960-01-04,0.509,none,deep adult standards,1.0,1.0,3,3AySOV4OTtOATfLEdxXzCV,125.971,4.0,The Big Hurt,0.635
3,Johnny Preston,0.772,1960-01-04,0.297,none,brill building pop,5.0,0.0,4,1RYznli2VNO7FCbW1Hq4KM,119.987,4.0,Running Bear,0.822
4,Freddie Cannon,2.0,1960-01-04,2.0,none,NA,2.0,2.0,5,NA,2.0,2.0,Way Down Yonder In New Orleans,2.0
5,Guy Mitchell,0.584,1960-01-04,0.589,none,adult standards,5.0,1.0,6,0mmveflIg5uKskiCOdRV3e,172.484,4.0,Heartaches By The Number,0.842
6,Paul Anka,0.311,1960-01-04,0.314,none,adult standards,3.0,1.0,7,6dAqyQn8GS2RYRqyP5eKTp,109.983,3.0,It's Time To Cry,0.565
7,Connie Francis,0.474,1960-01-04,0.347,none,adult standards,9.0,1.0,8,5i443FmGBBGNMJSy1mIJoF,108.945,3.0,Among My Souvenirs,0.524
8,Steve Lawrence,0.526,1960-01-04,0.518,none,adult standards,5.0,1.0,9,0eOCEfFgm67rnAtarILM1T,127.998,4.0,Pretty Blue Eyes,0.837
9,Jimmy Clanton,0.684,1960-01-04,0.374,none,brill building pop,0.0,1.0,10,15mwNCoUIJJ1dvtNeSbY7J,142.815,4.0,"Go, Jimmy, Go",0.846
10,Bobby Rydell,0.454,1960-01-04,0.678,none,adult standards,7.0,1.0,11,5O11gVu4Sm3B7yjQ2rELoY,129.399,4.0,We Got Love,0.606
11,Bobby Darin,0.549,1960-01-04,0.529,none,adult standards,3.0,0.0,12,0YTgZJfVLmJ0b8XAMZKRKg,82.755,4.0,Mack The Knife,0.464
12,Andy Williams,0.235,1960-01-04,0.198,none,adult standards,8.0,1.0,13,226jmAxLwB6D3XydMxDfHW,87.256,3.0,The Village Of St. Bernadette,0.229
13,The Nutty Squirrels,0.707,1960-01-04,0.42,none,NA,4.0,1.0,14,2PfBmtiCPtaoVLu9qvuryb,112.556,4.0,Uh! Oh! Part 2,0.596
14,Larry Hall,0.633,1960-01-04,0.484,none,christian relaxative,0.0,1.0,15,7Mnth7IFDPv3i2B6xeNItE,80.543,4.0,Sandy,0.814
15,Fabian,0.29,1960-01-04,0.125,none,NA,4.0,1.0,16,24fo7tdfOXJ6mlRl8PMup8,165.897,5.0,Hound Dog Man,0.277
16,The Browns,0.457,1960-01-04,0.228,none,country gospel,7.0,1.0,17,2ufKeWC3w9cX7xsh92ogqR,96.324,3.0,Scarlet Ribbons (For Her Hair),0.231
17,Bill Black's Combo,0.769,1960-01-04,0.273,none,NA,0.0,1.0,18,2QjX4ski2BvfkHyT2sszyB,117.883,4.0,Smokie - Part 2,0.763
18,Della Reese,0.348,1960-01-04,0.467,none,adult standards,10.0,1.0,19,1iu7A7vOv1andAcWxcIPPF,122.738,4.0,Not One Minute More,0.258
19,Fabian,0.35,1960-01-04,0.0721,none,NA,2.0,1.0,20,10cjs3lGQ2lDfD1mKkduhE,115.252,3.0,This Friendly World,0.362
20,Ernie Fields,0.431,1960-01-04,0.938,Orch.,deep adult standards,1.0,1.0,21,6nCRUa8xPE59AyOfZBr3Qt,162.462,4.0,In The Mood,0.972
21,The Harry Simeone Chorale,2.0,1960-01-04,2.0,none,NA,2.0,2.0,22,NA,2.0,2.0,The Little Drummer Boy,2.0
22,Marv Johnson,0.697,1960-01-04,0.597,none,motown,7.0,1.0,23,49ax6w7sxo2vkDrISdRd89,136.397,4.0,You Got What It Takes,0.959
23,Annette With The Afterbeats,2.0,1960-01-04,2.0,none,NA,2.0,2.0,24,NA,2.0,2.0,First Name Initial,2.0
24,Brook Benton,0.51,1960-01-04,0.369,none,adult standards,10.0,1.0,25,6jQfIHHTLwdxkqlkolNQ8T,119.545,4.0,So Many Ways,0.599
25,Neil Sedaka,0.579,1960-01-04,0.618,none,adult standards,11.0,1.0,26,1yWxDvpM1zZoT355bEjU8G,132.685,4.0,Oh! Carol,0.816
26,Fats Domino,0.65,1960-01-04,0.425,none,adult standards,10.0,1.0,27,3Vumfl7U0v6EjLZoFvDTfe,146.38,4.0,Be My Guest,0.961
27,Santo,0.604,1960-01-04,0.347,Johnny,NA,10.0,1.0,28,1rH9Pgv6D3qvZcRjlTNyUS,93.269,3.0,Tear Drop,0.343
28,Mark Dinning,0.57,1960-01-04,0.0636,none,NA,0.0,1.0,29,36NPEs4S7ik50NrlzaqoIJ,101.517,4.0,Teen Angel,0.282
29,Lloyd Price and His Orchestra,2.0,1960-01-04,2.0,none,NA,2.0,2.0,30,NA,2.0,2.0,Come Into My Heart,2.0
30,The Fleetwoods,0.374,1960-01-04,0.0889,none,adult standards,4.0,1.0,31,6bnFjTW3EnMG4BwreDnSHK,96.677,4.0,Mr. Blue,0.211
31,Ricky Nelson,0.669,1960-01-04,0.443,none,adult standards,11.0,0.0,32,6yeJW5uiuqb3rbUduZ5UBG,111.666,4.0,I Wanna Be Loved,0.475
32,Conway Twitty,0.453,1960-01-04,0.572,none,country,2.0,1.0,33,1hnTt2qyVYnxUfmCEdDUSb,173.509,4.0,Danny Boy,0.783
33,Della Reese,0.149,1960-01-04,0.367,none,adult standards,3.0,1.0,34,3yIBU17cLkuB8tKMymOLvX,170.558,1.0,Don't You Know,0.374
34,Jackie Wilson,0.63,1960-01-04,0.666,none,adult standards,6.0,1.0,35,2UJENcUk6T8kICFcuFtWsA,143.998,4.0,Talk That Talk,0.873
35,Rocco Granata and the International Quintet,2.0,1960-01-04,2.0,none,NA,2.0,2.0,36,NA,2.0,2.0,Marina,2.0
36,Hugo,2.0,1960-01-04,2.0,Luigi,NA,2.0,2.0,37,NA,2.0,2.0,Just Come Home,2.0
37,Dee Clark,0.58,1960-01-04,0.253,none,brill building pop,10.0,1.0,38,2kV7S1nOw4Jfo8rapygdmd,147.659,4.0,How About That,0.863
38,Frankie Avalon,0.587,1960-01-04,0.43,none,adult standards,0.0,1.0,39,3ConsOVpS2L6rejAUcljVS,76.615,4.0,Swingin' On A Rainbow,0.96
39,Johnny Mathis,0.26,1960-01-04,0.319,none,adult standards,8.0,1.0,40,7umUzOggE00eZPdO8dJ5pc,87.727,4.0,Misty,0.194
40,Jim Reeves,0.554,1960-01-04,0.186,none,adult standards,1.0,1.0,41,7DH5dXVuQaqcKf9oTy9oUN,81.181,3.0,He'll Have To Go,0.2
41,Royal Teens,0.48,1960-01-04,0.452,none,NA,0.0,1.0,42,4oebTFBRYpAgrLOtUvdarC,76.815,4.0,Believe Me,0.637
42,The Drifters,0.426,1960-01-04,0.44,none,adult standards,5.0,1.0,43,0fFY4JvHfSkChtwlGNtE38,131.348,4.0,Dance With Me,0.537
43,Bob Beckham,2.0,1960-01-04,2.0,none,NA,2.0,2.0,44,NA,2.0,2.0,Just As Much As Ever,2.0
44,"Dancer, Prancer And Nervous",2.0,1960-01-04,2.0,none,NA,2.0,2.0,45,NA,2.0,2.0,The Happy Reindeer,2.0
45,Duane Eddy His Twangy Guitar And The Rebels,2.0,1960-01-04,2.0,none,NA,2.0,2.0,46,NA,2.0,2.0,Bonnie Came Back,2.0
46,Tommy Edwards,0.386,1960-01-04,0.322,none,adult standards,7.0,0.0,47,4pNXt2MMFvTSBOkOPWjD8r,178.668,3.0,(New In) The Ways Of Love,0.508
47,Rod Lauren,0.396,1960-01-04,0.355,none,NA,2.0,1.0,48,69LUrTWdXgcXuKMaK9XGrZ,123.275,4.0,If I Had A Girl,0.568
48,Ricky Nelson,0.442,1960-01-04,0.604,none,adult standards,0.0,0.0,49,286dSyIKhUq2VfHjRDl4DZ,80.607,4.0,Mighty Good,0.914
49,The Coasters,0.666,1960-01-04,0.488,none,adult standards,9.0,1.0,50,7oLItNFdvAwu8wwMohOvZH,147.255,4.0,What About Us,0.962
50,Dion,0.444,1960-01-04,0.267,The Belmonts,adult standards,8.0,1.0,51,0OLIIwpl8vDQWXYZa7becp,110.661,3.0,Where Or When,0.455
51,The Spacemen,0.815,1960-01-04,0.818,none,NA,3.0,1.0,52,5B2Caa36wW8y0gSDVKJT7W,104.489,4.0,The Clouds,0.891
52,Stonewall Jackson,0.628,1960-01-04,0.627,none,country gospel,0.0,1.0,53,6tMLCHCa5EJpfn8UMc1HBf,134.487,4.0,Mary Don't You Weep,0.905
53,Willy Alberti,0.492,1960-01-04,0.353,none,dutch pop,8.0,1.0,54,2UX90NAln1t8lrGcj6Pfzf,205.886,4.0,Marina,0.709
54,The Drifters,0.511,1960-01-04,0.236,none,adult standards,0.0,1.0,55,2mfo3AK0aZzTGcXD0LnLqx,141.222,4.0,"(If You Cry) True Love, True Love",0.196
55,Webb Pierce,0.651,1960-01-04,0.615,none,country gospel,0.0,1.0,56,5HYfXhNjRWZDpzJ3AleRsp,132.022,4.0,No Love Have I,0.807
56,Johnny And The Hurricanes,0.459,1960-01-04,0.746,none,brill building pop,6.0,1.0,57,3GCrbnKJ2f9276Kx4KD5Y7,93.3,4.0,Reveille Rock,0.963
57,The Nutty Squirrels,0.707,1960-01-04,0.42,none,NA,4.0,1.0,58,2PfBmtiCPtaoVLu9qvuryb,112.556,4.0,Uh! Oh! Part 1,0.596
58,Sammy Turner,0.745,1960-01-04,0.231,none,NA,8.0,1.0,59,4BOp0Ddc2K357ok52GC4zn,114.816,4.0,Always,0.943
59,Little Anthony And The Imperials,0.7,1960-01-04,0.447,none,brill building pop,10.0,1.0,60,2MnlN2UropWELLdYv4Pj3c,116.08,4.0,"Shimmy, Shimmy, Ko-Ko-Bop",0.826
60,David Seville And The Chipmunks,2.0,1960-01-04,2.0,none,NA,2.0,2.0,61,NA,2.0,2.0,The Chipmunk Song (Christmas Don't Be Late),2.0
61,The Four Preps,0.649,1960-01-04,0.295,none,christmas,1.0,1.0,62,2gk8yHNQd3NrZjVKY6Omtv,118.75,4.0,Down By The Station,0.537
62,The Crests,0.643,1960-01-04,0.54,none,doo-wop,7.0,1.0,63,4sdWRCiWNsPwNHkgwEIL0S,144.182,4.0,A Year Ago Tonight,0.814
63,Joe Turner,0.472,1960-01-04,0.592,none,blues,7.0,0.0,64,5ssXU6u9HqUW87W2gglY7F,169.218,4.0,Honey Hush,0.671
64,Conway Twitty,0.669,1960-01-04,0.316,none,country,5.0,1.0,65,4sZQFezzQDSPJNz8mcJ7pu,112.725,3.0,Lonely Blue Boy,0.601
65,Lloyd Price and His Orchestra,2.0,1960-01-04,2.0,none,NA,2.0,2.0,66,NA,2.0,2.0,Wont'cha Come Home,2.0
66,Jimmy Jones,0.452,1960-01-04,0.644,none,bmore,10.0,1.0,67,1CUN9HpU25ymyCh5dBCygu,144.995,4.0,Handy Man,0.854
67,Bob Beckham,2.0,1960-01-04,2.0,none,NA,2.0,2.0,68,NA,2.0,2.0,Crazy Arms,2.0
68,Tommy Facenda,2.0,1960-01-04,2.0,none,NA,2.0,2.0,69,NA,2.0,2.0,High School U.S.A.,2.0
69,"Carl Dobkins, Jr.",2.0,1960-01-04,2.0,none,NA,2.0,2.0,70,NA,2.0,2.0,Lucky Devil,2.0
70,Clyde McPhatter,0.676,1960-01-04,0.498,none,brill building pop,3.0,1.0,71,46KVqQgrk41NYLLbMjsO9b,147.386,4.0,Let's Try Again,0.941
71,Dorothy Collins,2.0,1960-01-04,2.0,none,NA,2.0,2.0,72,NA,2.0,2.0,Baciare Baciare (Kissing Kissing),2.0
72,Paul Evans and the Curls,2.0,1960-01-04,2.0,none,NA,2.0,2.0,73,NA,2.0,2.0,(Seven Little Girls) Sitting In The Back Seat,2.0
73,Jerry Wallace With The Jewels,2.0,1960-01-04,2.0,none,NA,2.0,2.0,74,NA,2.0,2.0,Primrose Lane,2.0
74,Brook Benton,0.3,1960-01-04,0.223,none,adult standards,7.0,1.0,75,5lkNXJ7BWohcxkySAkOTH2,67.323,4.0,This Time Of The Year,0.124
75,The Clovers,0.71,1960-01-04,0.712,none,brill building pop,7.0,1.0,76,4Frd6VT1lsdjiwfAQaSldS,128.758,4.0,Love Potion No. 9,0.911
76,Tony Bennett,0.187,1960-01-04,0.425,none,adult standards,9.0,1.0,77,4nTRD7ETULNj6ACAvASHoj,74.407,1.0,Climb Ev'ry Mountain,0.226
77,Bill Haley And His Comets,2.0,1960-01-04,2.0,none,NA,2.0,2.0,78,NA,2.0,2.0,Skokiaan (South African Song),2.0
78,Brenda Lee,0.778,1960-01-04,0.413,none,adult standards,5.0,1.0,79,4ZiDhG5Ift5I6reAEOBBec,125.235,4.0,Sweet Nothin's,0.961
79,The Coasters,0.655,1960-01-04,0.541,none,adult standards,0.0,0.0,80,3mc4hySxLwW78CIR1R89dg,145.198,4.0,Run Red Run,0.798
80,Anita Bryant,2.0,1960-01-04,2.0,none,NA,2.0,2.0,81,NA,2.0,2.0,Promise Me A Rose (A Slight Detail),2.0
81,Ray Smith,0.646,1960-01-04,0.787,none,rock-and-roll,0.0,1.0,82,1R4kAzLGI0PQBe32NAGP40,79.156,4.0,Rockin' Little Angel,0.962
82,Ray Charles and his Orchestra,2.0,1960-01-04,2.0,none,NA,2.0,2.0,83,NA,2.0,2.0,I'm Movin' On,2.0
83,Spencer Ross,2.0,1960-01-04,2.0,none,NA,2.0,2.0,84,NA,2.0,2.0,Tracy's Theme,2.0
84,Johnny Cash,0.686,1960-01-04,0.497,none,outlaw country,0.0,0.0,85,7FIcV2kEiO2mvvMbxU5Jkn,118.871,4.0,The Little Drummer Boy,0.559
85,Joni James,0.288,1960-01-04,0.539,none,adult standards,11.0,1.0,86,5opP1p1Ulc1Q6Sx5pZ3eYy,113.129,4.0,Little Things Mean A Lot,0.556
86,Faron Young,0.651,1960-01-04,0.709,none,country gospel,4.0,1.0,87,1LXTz7SxX7C7SCoFpz0Tc2,90.851,4.0,Riverboat,0.942
87,The Viscounts,0.357,1960-01-04,0.321,none,NA,11.0,1.0,88,6GROMP4q49fsqQzs8s9mCw,165.689,4.0,Harlem Nocturne,0.47
