,artist,danceability,date,energy,featuring,genre,key,mode,rank,spotifyID,tempo,timesignature,track,valence
0,Elvis Presley With The Jordanaires,2.0,1961-01-02,2.0,none,NA,2.0,2.0,1,NA,2.0,2.0,Are You Lonesome To-night?,2.0
1,Bert Kaempfert And His Orchestra,0.26,1961-01-02,0.26,none,adult standards,4.0,1.0,2,2SUe50SsXKH97zPwx1pnuL,78.223,4.0,Wonderland By Night,0.229
2,Floyd Cramer,0.615,1961-01-02,0.306,none,christmas,0.0,1.0,3,7rbvjRc6ZTVA3GUXDx3Xtr,103.818,3.0,Last Date,0.613
3,Ferrante,0.456,1961-01-02,0.221,Teicher,adult standards,2.0,0.0,4,7MIzIo0Z9S8zmBiXdGwOeS,91.562,4.0,Exodus,0.122
4,Kathy Young With The Innocents,2.0,1961-01-02,2.0,none,NA,2.0,2.0,5,NA,2.0,2.0,A Thousand Stars,2.0
5,Johnny Horton,0.646,1961-01-02,0.374,none,country,0.0,1.0,6,4mCB2FpWvmT3GcXUWyn0gs,82.947,4.0,North To Alaska,0.903
6,Connie Francis,0.693,1961-01-02,0.506,none,adult standards,0.0,0.0,7,4xVasGst27QfPXUebCSBse,127.018,4.0,Many Tears Ago,0.882
7,Johnny Burnette,0.434,1961-01-02,0.458,none,adult standards,2.0,1.0,8,5NOITvzXKvrqsRqJz5FgIJ,76.269,4.0,You're Sixteen,0.749
8,Rosie And The Originals,0.597,1961-01-02,0.172,none,classic soul,0.0,1.0,9,71keN33KR0rS5jwKi4JNLE,98.593,3.0,Angel Baby,0.444
9,Ray Peterson,0.6,1961-01-02,0.267,none,adult standards,9.0,1.0,10,1jnbu1z52a8fmU3clOiVEG,128.923,4.0,"Corinna, Corinna",0.615
10,Bobby Vee,0.423,1961-01-02,0.43,none,adult standards,9.0,1.0,11,35gkASz2Cb1VryMGIuEPjX,142.885,4.0,Rubber Ball,0.77
11,Lolita,0.453,1961-01-02,0.297,none,NA,7.0,1.0,12,3l477StNmG8dGEwGzFshxh,102.537,4.0,Sailor (Your Home Is The Sea),0.388
12,Jerry Butler,0.61,1961-01-02,0.62,none,brill building pop,8.0,0.0,13,2ZJZcqM60OwgqTO1OvJpHL,130.979,4.0,He Will Break Your Heart,0.749
13,The Shirelles,0.49,1961-01-02,0.384,none,adult standards,0.0,1.0,14,2kNYcE79Yu778nqdOgBHEb,137.047,4.0,Will You Love Me Tomorrow,0.47
14,Dion,0.371,1961-01-02,0.347,none,adult standards,7.0,0.0,15,3heOkAfstVuhK57gYlJI2J,70.846,4.0,Lonely Teenager,0.7
15,Louis Prima,0.442,1961-01-02,0.119,none,adult standards,4.0,1.0,16,3E9UfnzfTjfvlKvqJjXoTJ,70.496,4.0,Wonderland By Night,0.326
16,The Ventures,0.613,1961-01-02,0.758,none,lounge,11.0,0.0,17,7DRwkerriaXA6OCF6H7oqM,152.408,4.0,Perfidia,0.94
17,Brenda Lee,0.691,1961-01-02,0.402,none,adult standards,8.0,1.0,18,1XBc4r6ltXjkFJBrsttwIF,139.752,4.0,Rockin' Around The Christmas Tree,0.844
18,Anita Bryant,2.0,1961-01-02,2.0,none,NA,2.0,2.0,19,NA,2.0,2.0,Wonderland By Night,2.0
19,Bobby Rydell,0.655,1961-01-02,0.8,none,adult standards,4.0,0.0,20,7uXktLVq43HeS4fPU4nQna,122.888,4.0,Sway,0.934
20,Johnny Tillotson,0.477,1961-01-02,0.703,none,adult standards,8.0,1.0,21,5zMOnpgoSb9akRw5YlYeAs,135.342,4.0,Poetry In Motion,0.875
21,Lawrence Welk And His Orchestra,2.0,1961-01-02,2.0,none,NA,2.0,2.0,22,NA,2.0,2.0,Calcutta,2.0
22,Ferlin Husky,0.5,1961-01-02,0.319,none,country gospel,4.0,1.0,23,31vF1iGX0S3Dtv0rQfEksJ,177.489,3.0,Wings Of A Dove,0.646
23,U.S. Bonds,0.567,1961-01-02,0.851,none,rhythm and blues,2.0,1.0,24,02Pnl8bz7IBddYpUWogdYT,159.225,4.0,New Orleans,0.697
24,Fats Domino,0.775,1961-01-02,0.368,none,adult standards,5.0,0.0,25,0CIc4SaHV9RaQvXscSlVFH,73.503,4.0,My Girl Josephine,0.955
25,Bill Black's Combo,0.698,1961-01-02,0.892,none,NA,7.0,1.0,26,7N29YCbJqmuQzspqfEebXr,132.951,4.0,Blue Tango,0.962
26,The Shells,0.565,1961-01-02,0.473,none,NA,0.0,0.0,27,7ydnbSJgu700d3ab1jpDBg,107.275,3.0,Baby Oh Baby,0.595
27,Ray Charles,0.759,1961-01-02,0.533,none,NA,0.0,1.0,28,0ULyHRmncqiUWTEIwNvBIx,117.827,4.0,Ruby,0.91
28,The Harry Simeone Chorale,2.0,1961-01-02,2.0,none,NA,2.0,2.0,29,NA,2.0,2.0,The Little Drummer Boy,2.0
29,Brook Benton,0.364,1961-01-02,0.58,none,adult standards,10.0,0.0,30,3xaOYRjEi45Rhay8hWPmCv,135.79,4.0,Fools Rush In (Where Angels Fear To Tread),0.634
30,Jackie Wilson,0.288,1961-01-02,0.392,none,adult standards,0.0,1.0,31,5QZyGPDlIyk75zl8sOOXbh,92.047,4.0,Alone At Last,0.37
31,"The Miracles (featuring Bill ""Smokey"" Robinson)",2.0,1961-01-02,2.0,none,NA,2.0,2.0,32,NA,2.0,2.0,Shop Around,2.0
32,Elvis Presley With The Jordanaires,2.0,1961-01-02,2.0,none,NA,2.0,2.0,33,NA,2.0,2.0,I Gotta Know,2.0
33,Donnie Brooks,0.629,1961-01-02,0.513,none,NA,9.0,1.0,34,3vRungYE0xsnnSc9e3EH2x,82.716,4.0,Doll House,0.703
