,artist,danceability,date,energy,featuring,genre,key,mode,rank,spotifyID,tempo,timesignature,track,valence
0,The Beatles,0.59,1964-08-08,0.805,none,british invasion,0.0,1.0,1,5J2CHimS7dWYMImCHkEFaJ,138.514,4.0,A Hard Day's Night,0.797
1,Dean Martin,0.26,1964-08-08,0.49,none,adult standards,3.0,0.0,2,78VG6M1i7JQXBdygmWFwye,80.599,4.0,Everybody Loves Somebody,0.399
2,The Supremes,0.582,1964-08-08,0.636,none,adult standards,0.0,1.0,3,5uES1C2NgkdrNHiCwf9jRr,135.769,4.0,Where Did Our Love Go,0.715
3,Jan,0.478,1964-08-08,0.817,Dean,adult standards,3.0,1.0,4,4F2w3xgfaVJdCSAqDtJULv,145.946,4.0,The Little Old Lady (From Pasadena),0.943
4,The 4 Seasons ,0.452,1964-08-08,0.57,"the ""Sound of Frankie Valli""",adult standards,5.0,1.0,5,6BQVbqCKuROQNvc5WtwiPG,109.954,4.0,Rag Doll,0.677
5,Dusty Springfield,0.679,1964-08-08,0.38,none,adult standards,11.0,1.0,6,7yr4IstGuyLUIYYPUu9xQh,108.133,4.0,Wishin' And Hopin',0.728
6,The Drifters,0.747,1964-08-08,0.226,none,adult standards,7.0,1.0,7,65jrjEhWfAvysKfnojk1i0,123.789,4.0,Under The Boardwalk,0.778
7,Roger Miller,0.564,1964-08-08,0.378,none,country gospel,9.0,1.0,8,20iH1uibQIUqNFk3wzG7AG,197.325,4.0,Dang Me,0.687
8,The Jelly Beans,0.512,1964-08-08,0.604,none,brill building pop,1.0,1.0,9,4lvd9RUYyT5BGG1URmeUJz,121.899,4.0,I Wanna Love Him So Bad,0.564
9,The Beach Boys,0.39,1964-08-08,0.625,none,brill building pop,9.0,0.0,10,3v9xlH6BpmRbqL7hgNJhfT,144.338,4.0,I Get Around,0.514
10,Stan Getz/Astrud Gilberto,2.0,1964-08-08,2.0,none,NA,2.0,2.0,11,NA,2.0,2.0,The Girl From Ipanema,2.0
11,Johnny Rivers,0.614,1964-08-08,0.794,none,brill building pop,4.0,1.0,12,5QqdnAVnNCfWp9CZ3pi5a0,90.653,4.0,Memphis,0.646
12,Bobby Freeman,0.58,1964-08-08,0.575,none,doo-wop,5.0,0.0,13,7LAMmINm2WrXyvFAD1iVnD,78.797,4.0,C'mon And Swim,0.912
