,artist,danceability,date,energy,featuring,genre,key,mode,rank,spotifyID,tempo,timesignature,track,valence
0,Santana ,0.609,2000-01-01,0.923,Rob Thomas,blues-rock,9.0,1.0,1,0n2SEXB2qoRQg171q7XqeW,115.996,4.0,Smooth,0.961
1,Brian McKnight,0.649,2000-01-01,0.357,none,dance pop,11.0,1.0,2,6mwA6YiKDjAUG8kWvRRUPh,129.798,4.0,Back At One,0.241
2,Jessica Simpson,0.59,2000-01-01,0.666,none,dance pop,4.0,0.0,3,5gZEhPrN1VLqTG1nIAXeNK,104.042,4.0,I Wanna Love You Forever,0.0743
3,Whitney Houston,0.806,2000-01-01,0.802,none,dance pop,1.0,1.0,4,7861kBrZ5aw7o4NfggcyYW,127.931,4.0,My Love Is Your Love,0.529
4,Savage Garden,0.556,2000-01-01,0.517,none,australian pop,9.0,1.0,5,68K0qD0VDqdm0eWXsGqnvM,169.938,4.0,I Knew I Loved You,0.779
5,Marc Anthony,0.813,2000-01-01,0.949,none,latin,3.0,0.0,6,7ffwRz8lZyDOE4Vj58Lo72,115.061,4.0,I Need To Know,0.792
6,"Missy ""Misdemeanor"" Elliott ",2.0,2000-01-01,2.0,"NAS, EVE",NA,2.0,2.0,7,NA,2.0,2.0,Hot Boyz,2.0
7,Donell Jones,0.854,2000-01-01,0.543,none,dance pop,8.0,0.0,8,5PMKzsUsTpZZGsCcJBuhP2,103.032,4.0,U Know What's Up,0.868
8,Blaque,0.695,2000-01-01,0.579,none,girl group,0.0,1.0,9,1cjBan0t4eBk2Y5j17hdyf,88.957,4.0,Bring It All To Me,0.726
9,LFO,0.688,2000-01-01,0.716,none,boy band,4.0,0.0,10,4DJwdQDai9DLYBL9TNrEDo,96.043,4.0,Girl On TV,0.352
10,Christina Aguilera,0.754,2000-01-01,0.819,none,dance pop,0.0,1.0,11,5bGmuxShUba9maPswDnhCs,142.137,4.0,What A Girl Wants,0.818
11,Kevon Edmonds,0.696,2000-01-01,0.627,none,neo soul,4.0,1.0,12,4rZB2G955dQMcjlb7e3VNB,116.047,4.0,24/7,0.322
12,Eiffel 65,0.822,2000-01-01,0.969,none,bubblegum dance,7.0,0.0,13,2yAVzRiEQooPEJ9SYx11L3,128.007,4.0,Blue (Da Ba Dee),0.765
13,Smash Mouth,0.736,2000-01-01,0.868,none,alternative rock,5.0,0.0,14,50MfV7a1pnOEcf2t9kobxW,118.599,4.0,Then The Morning Comes,0.961
14,Jagged Edge,0.721,2000-01-01,0.836,none,atl hip hop,8.0,0.0,15,3VEZvzr84WVnoorZ4tlBSw,126.279,4.0,He Can't Love U,0.508
15,Jennifer Lopez,0.694,2000-01-01,0.941,none,dance pop,10.0,0.0,16,5jOvmh1DYmaiBPETL6HCRY,125.014,4.0,Waiting For Tonight,0.854
16,Celine Dion,0.635,2000-01-01,0.88,none,canadian pop,9.0,1.0,17,38VJ6qYnuv3vzfjrvm389j,93.043,4.0,That's The Way It Is,0.596
17,Christina Aguilera,2.0,2000-01-01,2.0,none,NA,2.0,2.0,18,NA,2.0,2.0,The Christmas Song (Chestnuts Roasting On An Open Fire),2.0
18,Guy,0.798,2000-01-01,0.703,none,funk,10.0,0.0,19,7K8Ew4j9qpkqEFlTdMdoqC,101.015,4.0,Dancin',0.792
