,artist,danceability,date,energy,featuring,genre,key,mode,rank,spotifyID,tempo,timesignature,track,valence
0,Roberta Flack,0.477,1973-03-31,0.381,none,adult standards,5.0,0.0,1,3gsCAGsWr6pUm1Vy7CPPob,121.568,4.0,Killing Me Softly With His Song,0.329
1,Deodato,0.448,1973-03-31,0.763,none,bossa nova jazz,0.0,1.0,2,6ywm0ilJ9ItgXRDg0yrJP1,117.938,4.0,Also Sprach Zarathustra (2001),0.513
2,Gladys Knight And The Pips,0.525,1973-03-31,0.407,none,adult standards,5.0,1.0,3,76Gcy0ltMutGaK8oizgdrF,140.52,4.0,Neither One Of Us (Wants To Be The First To Say Goodbye),0.67
3,The O'Jays,0.744,1973-03-31,0.568,none,classic soul,0.0,1.0,4,28285KFbyCq8sJofn58qlD,122.657,4.0,Love Train,0.687
4,Four Tops,0.54,1973-03-31,0.553,none,adult standards,9.0,0.0,5,2mhFroJn2fNDzWc7DUHSVR,98.785,4.0,Ain't No Woman (Like The One I've Got),0.874
5,The Stylistics,0.582,1973-03-31,0.299,none,adult standards,4.0,1.0,6,1F3n7rwgq0v4d2iW6IyV74,79.422,3.0,Break Up To Make Up,0.322
6,Edward Bear,0.545,1973-03-31,0.421,none,classic canadian rock,6.0,1.0,7,5CNdxdDDEjZGmf0ho9oMDb,128.75,4.0,Last Song,0.717
7,Anne Murray,0.512,1973-03-31,0.379,none,adult standards,11.0,0.0,8,5lQxMlCMTzCj3j4vyzdl8T,144.687,4.0,Danny's Song,0.522
8,Carpenters,0.488,1973-03-31,0.282,none,adult standards,3.0,1.0,9,1W0eyV8mC2IaGkYEbeUpJy,139.905,4.0,Sing,0.329
9,Vicki Lawrence,0.455,1973-03-31,0.417,none,NA,5.0,0.0,10,2VRpkHq6V8aiqdPsQqWI3e,172.015,4.0,The Night The Lights Went Out In Georgia,0.611
10,Al Green,0.683,1973-03-31,0.392,none,classic soul,10.0,1.0,11,2THyR0on3DrsfXBtRrLZgK,99.79,4.0,Call Me (Come Back Home),0.679
11,Deliverance/Eric Weissberg,2.0,1973-03-31,2.0,Steve Mandell,NA,2.0,2.0,12,NA,2.0,2.0,Dueling Banjos,2.0
12,Dawn ,0.559,1973-03-31,0.615,Tony Orlando,NA,5.0,1.0,13,12UzVR0M7asW2MHAZRJk0I,87.601,4.0,Tie A Yellow Ribbon Round The Ole Oak Tree,0.68
13,Dr. Hook And The Medicine Show,0.648,1973-03-31,0.472,none,bubblegum pop,9.0,1.0,14,3JYjHeKY0OSnkQGJGvw7P8,142.184,4.0,"The Cover Of ""Rolling Stone""",0.907
